species,phylum,group,common_name_division_bgr,feeding,foliose_morphology_growth_form,filamentous_morphology_growth_form,crustose_morphology_growth_form,globular_morphology_growth_form,leathery_external_morphology,articulated_external_morphology,branched_external_morphology,space_use_canopy,space_use_sub_canopy,space_use_turf,epibiotic_env_position,solitary_colonial,adult_body_size_bin,adult_motility
Cancer irroratus,Arthropoda,Invertebrate,Crustacean,predator,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,solitary,SC2,motile
Carcinus maenas,Arthropoda,Invertebrate,Crustacean,predator,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,solitary,SC2,motile
Celleporella hyalina,Bryozoa,Invertebrate,Bryozoan,filter-suspension,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,colonial,SC2,sessile
Ciona intestinalis,Tunicata,Invertebrate,Tunicate,filter-suspension,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,gregarious,SC2,sessile
Ciona savignyi,Tunicata,Invertebrate,Tunicate,filter-suspension,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,gregarious,SC2,sessile
Crepidula fornicata,Mollusca,Invertebrate,Gastropod,filter-suspension,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,gregarious,SC2,sessile
Crisia eburnea,Bryozoa,Invertebrate,Bryozoan,filter-suspension,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,colonial,SC1,sessile
Crisularia turrita,Bryozoa,Invertebrate,Bryozoan,filter-suspension,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,colonial,SC2,sessile
Cryptosula pallasiana,Bryozoa,Invertebrate,Bryozoan,filter-suspension,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,colonial,SC1,sessile
Cucumaria frondosa,Echinodermata,Invertebrate,Echinoderm,filter-suspension,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,gregarious,SC3,motile
Dendrobeania murrayana,Bryozoa,Invertebrate,Bryozoan,filter-suspension,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,colonial,SC3,sessile
Dendrodoa carnea,Tunicata,Invertebrate,Tunicate,filter-suspension,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,gregarious,SC2,sessile
Diadumene lineata,Cnidaria,Invertebrate,Anemone,predator,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,solitary,SC1,sessile
Didemnum albidum,Tunicata,Invertebrate,Tunicate,filter-suspension,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,colonial,SC1,sessile
Didemnum vexillum,Tunicata,Invertebrate,Tunicate,filter-suspension,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,colonial,SC1,sessile
Diplosoma listerianum,Tunicata,Invertebrate,Tunicate,filter-suspension,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,colonial,SC1,sessile
Dynamena pumila,Cnidaria,Invertebrate,Hydrozoan,filter-suspension,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,colonial,SC1,sessile
Echinarachnius parma,Echinodermata,Invertebrate,Echinoderm,filter-suspension,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,solitary,SC2,motile
Electra pilosa,Bryozoa,Invertebrate,Bryozoan,filter-suspension,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,colonial,SC1,sessile
Flustrellidra hispida,Bryozoa,Invertebrate,Bryozoan,filter-suspension,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,colonial,SC2,sessile
Gastropoda,Mollusca,Invertebrate,Gastropod,omnivore,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,solitary,SC2,motile
Halichondria panicea,Porifera,Invertebrate,Sponge,filter-suspension,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,colonial,SC3,sessile
Halisarca dujardinii,Porifera,Invertebrate,Sponge,filter-suspension,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,colonial,SC2,sessile
Hemigrapsus sanguineus,Arthropoda,Invertebrate,Crustacean,predator,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,solitary,SC2,motile
Henricia sanguinolenta,Echinodermata,Invertebrate,Sea Stars,filter-suspension,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,solitary,SC2,motile
Hiatella arctica,Mollusca,Invertebrate,Bivalve,filter-suspension,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,solitary,SC1,sessile
Homarus americanus,Arthropoda,Invertebrate,Crustacean,predator,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,solitary,SC4,motile
Hymedesmia,Porifera,Invertebrate,Sponge,filter-suspension,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,colonial,SC2,sessile
Isopoda,Arthropoda,Invertebrate,Crustacean,herbivore,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,solitary,SC2,motile
Lacuna vincta,Mollusca,Invertebrate,Gastropod,herbivore,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,solitary,SC1,motile
Leucosolenia,Porifera,Invertebrate,Sponge,filter-suspension,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,colonial,SC2,sessile
Littorina littorea,Mollusca,Invertebrate,Gastropod,herbivore,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,gregarious,SC2,motile
Littorina obtusata,Mollusca,Invertebrate,Gastropod,herbivore,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,solitary,SC1,motile
Littorina saxatilis,Mollusca,Invertebrate,Gastropod,herbivore,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,solitary,SC2,motile
Membranipora membranacea,Bryozoa,Invertebrate,Bryozoan,filter-suspension,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,colonial,SC2,sessile
Metridium dianthus,Cnidaria,Invertebrate,Anemone,predator,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,gregarious,SC2,sessile
Metridium senile,Cnidaria,Invertebrate,Cnidarian,predator,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,gregarious,SC3,sessile
Modiolus modiolus,Mollusca,Invertebrate,Bivalve,filter-suspension,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,gregarious,SC2,sessile
Mya arenaria,Mollusca,Invertebrate,Bivalve,filter-suspension,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,solitary,SC2,sessile
Mytilus edulis,Mollusca,Invertebrate,Bivalve,filter-suspension,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,gregarious,SC2,sessile
Nucella lapillus,Mollusca,Invertebrate,Gastropod,predator,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,gregarious,SC2,motile
Nudibranchia,Mollusca,Invertebrate,Gastropod,predator,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,solitary,SC1,motile
Obelia,Cnidaria,Invertebrate,Hydrozoan,filter-suspension,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,colonial,SC3,motile
Ophiopholis aculeata,Echinodermata,Invertebrate,Echinoderm,predator,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,solitary,SC2,motile
Ostrea edulis,Mollusca,Invertebrate,Bivalve,filter-suspension,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,gregarious,SC2,sessile
Pachycerianthus borealis,Cnidaria,Invertebrate,Cnidarian,predator,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,solitary,SC3,sessile
Pagurus acadianus,Arthropoda,Invertebrate,Crustacean,omnivore,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,solitary,SC2,motile
Patinella verrucaria,Bryozoa,Invertebrate,Bryozoan,filter-suspension,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,colonial,SC2,sessile
Placopecten magellanicus,Mollusca,Invertebrate,Bivalve,filter-suspension,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,gregarious,SC2,sessile
