"","Phymatolithon lenormandii","Prasiola stipitata","Ascophyllum nodosum","Hildenbrandia rubra","Fucus vesiculosus","Mastocarpus stellatus","Chondrus crispus","Saccharina latissima","Ulva lactuca","Corallina officinalis","Fucus distichus","Ceramium virgatum","Clathromorphum circumscriptum","Ulva intestinalis","Plumaria plumosa","Palmaria palmata","Alaria esculenta","Polysiphonia","Porphyra","Ahnfeltia plicata","Chaetomorpha ligustica","Pylaiella littoralis","Leathesia marina","Spongomorpha aeruginosa","Elachista fucicola","Ptilota serrata","Cystoclonium purpureum","Chordaria flagelliformis","Bonnemaisonia hamifera","Codium fragile"
"Fucus distichus",0.858888888888889,0.765555555555556,0.585555555555556,0.866666666666667,0.351111111111111,0.866666666666667,0.866666666666667,0.648765432098765,0.858888888888889,0.858888888888889,0,0.96,0.866666666666667,0.858888888888889,0.96,0.96,0.688765432098766,0.96,0.763456790123457,0.656543209876543,0.686666666666667,0.858888888888889,0.858888888888889,0.795679012345679,0.797777777777778,0.866666666666667,0.763456790123457,0.795679012345679,0.96,0.866666666666667
"Ceramium virgatum",0.715061728395062,0.765061728395062,0.872222222222222,0.729506172839506,0.96,0.81641975308642,0.81641975308642,0.832222222222222,0.588888888888889,0.715061728395062,0.96,0,0.729506172839506,0.693950617283951,0.658395061728395,0.640246913580247,0.872222222222222,0.553333333333333,0.621481481481482,0.903333333333333,0.872222222222222,0.832222222222222,0.745308641975309,0.928888888888889,0.841975308641975,0.711358024691358,0.81641975308642,0.872222222222222,0.553333333333333,0.798271604938272
"Clathromorphum circumscriptum",0.677037037037037,0.779753086419753,0.943333333333333,0.527037037037037,0.866666666666667,0.723086419753086,0.723086419753086,0.903333333333333,0.873086419753086,0.786172839506173,0.866666666666667,0.729506172839506,0,0.873086419753086,0.62037037037037,0.81641975308642,0.943333333333333,0.729506172839506,0.636172839506173,0.81,0.943333333333333,0.903333333333333,0.81641975308642,1,0.913086419753086,0.723086419753086,0.723086419753086,0.943333333333333,0.729506172839506,0.81
"Ulva intestinalis",0.602098765432099,0.558888888888889,0.928888888888889,0.774320987654321,0.858888888888889,0.861234567901235,0.861234567901235,0.888888888888889,0.487777777777778,0.602098765432099,0.858888888888889,0.693950617283951,0.873086419753086,0,0.70320987654321,0.888888888888889,0.928888888888889,0.801975308641975,0.765061728395062,0.756172839506173,0.823827160493827,0.790123456790123,0.70320987654321,0.722716049382716,0.740864197530864,0.96,0.96,0.928888888888889,0.801975308641975,0.854938271604938
"Plumaria plumosa",0.507160493827161,0.873086419753086,0.872222222222222,0.521604938271605,0.96,0.717654320987654,0.717654320987654,0.832222222222222,0.801975308641975,0.616296296296296,0.96,0.658395061728395,0.62037037037037,0.70320987654321,0,0.745308641975309,0.872222222222222,0.658395061728395,0.729506172839506,0.804567901234568,0.872222222222222,0.733456790123457,0.646543209876543,0.928888888888889,0.841975308641975,0.81641975308642,0.81641975308642,0.872222222222222,0.658395061728395,0.903333333333333
"Palmaria palmata",0.801975308641975,0.96,0.872222222222222,0.81641975308642,0.96,0.715308641975309,0.715308641975309,0.832222222222222,0.783827160493827,0.801975308641975,0.96,0.640246913580247,0.81641975308642,0.888888888888889,0.745308641975309,0,0.872222222222222,0.640246913580247,0.81641975308642,0.903333333333333,0.872222222222222,0.731111111111111,0.723086419753086,0.718641975308642,0.928888888888889,0.610246913580247,0.715308641975309,0.771111111111111,0.640246913580247,0.588024691358025
"Alaria esculenta",0.928888888888889,1,0.454320987654321,0.943333333333333,0.688765432098766,0.943333333333333,0.943333333333333,0.45037037037037,0.928888888888889,0.928888888888889,0.688765432098766,0.872222222222222,0.943333333333333,0.928888888888889,0.872222222222222,0.872222222222222,0,0.872222222222222,0.943333333333333,0.73320987654321,0.555432098765432,0.771111111111111,0.771111111111111,0.822222222222222,0.721111111111111,0.943333333333333,0.943333333333333,0.664444444444444,0.872222222222222,0.943333333333333
"Polysiphonia",0.715061728395062,0.873086419753086,0.872222222222222,0.729506172839506,0.96,0.81641975308642,0.81641975308642,0.832222222222222,0.696913580246914,0.715061728395062,0.96,0.553333333333333,0.729506172839506,0.801975308641975,0.658395061728395,0.640246913580247,0.872222222222222,0,0.729506172839506,0.903333333333333,0.872222222222222,0.832222222222222,0.745308641975309,0.928888888888889,0.731975308641975,0.711358024691358,0.81641975308642,0.872222222222222,0.443333333333333,0.798271604938272
"Porphyra",0.786172839506173,0.671728395061729,0.840123456790123,0.636172839506173,0.763456790123457,0.723086419753086,0.723086419753086,0.903333333333333,0.765061728395062,0.786172839506173,0.763456790123457,0.621481481481482,0.636172839506173,0.765061728395062,0.729506172839506,0.81641975308642,0.943333333333333,0.729506172839506,0,0.81,0.840123456790123,0.903333333333333,0.81641975308642,0.89679012345679,0.913086419753086,0.723086419753086,0.619876543209877,0.840123456790123,0.729506172839506,0.81
"Ahnfeltia plicata",0.861234567901235,0.761604938271605,0.73320987654321,0.711234567901235,0.656543209876543,0.711234567901235,0.711234567901235,0.69320987654321,0.854938271604938,0.861234567901235,0.656543209876543,0.903333333333333,0.81,0.756172839506173,0.804567901234568,0.903333333333333,0.73320987654321,0.903333333333333,0.81,0,0.628148148148148,0.804567901234568,0.804567901234568,0.894938271604938,1,0.81,0.81,0.943333333333333,0.903333333333333,0.704938271604938
