"","Phymatolithon lenormandii","Prasiola stipitata","Ascophyllum nodosum","Hildenbrandia rubra","Fucus vesiculosus","Mastocarpus stellatus","Chondrus crispus","Saccharina latissima","Ulva lactuca","Corallina officinalis","Fucus distichus","Ceramium virgatum","Clathromorphum circumscriptum","Ulva intestinalis","Plumaria plumosa","Palmaria palmata","Alaria esculenta","Polysiphonia","Porphyra","Ahnfeltia plicata","Pylaiella littoralis","Leathesia marina","Spongomorpha aeruginosa","Elachista fucicola","Ptilota serrata","Cystoclonium purpureum","Chordaria flagelliformis","Bonnemaisonia hamifera","Codium fragile"
"Ceramium virgatum",0.738010305192231,0.956401109789933,0.927863654379707,0.738010305192231,0.927863654379707,0.716210860087198,0.716210860087198,0.886642885453825,0.915180340864051,0.716210860087198,0.927863654379707,0,0.738010305192231,0.915180340864051,0.716210860087198,0.716210860087198,0.886642885453825,0.738010305192231,0.744748315497424,0.886642885453825,0.927863654379707,0.886642885453825,0.886642885453825,0.927863654379707,0.716210860087198,0.716210860087198,0.886642885453825,0.738010305192231,0.908442330558858
"Clathromorphum circumscriptum",0.628088254723213,0.978200554894966,0.94966309948474,0.628088254723213,0.94966309948474,0.738010305192231,0.738010305192231,0.908442330558858,0.936979785969084,0.738010305192231,0.94966309948474,0.738010305192231,0,0.936979785969084,0.738010305192231,0.738010305192231,0.908442330558858,0.759809750297265,0.766547760602457,0.908442330558858,0.94966309948474,0.908442330558858,0.908442330558858,0.94966309948474,0.738010305192231,0.738010305192231,0.908442330558858,0.759809750297265,0.930241775663892
"Ulva intestinalis",0.936979785969084,0.634694147179284,0.956401109789933,0.936979785969084,0.956401109789933,0.915180340864051,0.915180340864051,0.915180340864051,0.593473378253402,0.915180340864051,0.956401109789933,0.915180340864051,0.936979785969084,0,0.915180340864051,0.915180340864051,0.915180340864051,0.936979785969084,0.806183115338882,0.702470603778571,0.956401109789933,0.915180340864051,0.702470603778571,0.956401109789933,0.915180340864051,0.915180340864051,0.915180340864051,0.936979785969084,0.724270048883604
"Plumaria plumosa",0.738010305192231,0.956401109789933,0.927863654379707,0.738010305192231,0.927863654379707,0.716210860087198,0.716210860087198,0.886642885453825,0.915180340864051,0.716210860087198,0.927863654379707,0.716210860087198,0.738010305192231,0.915180340864051,0,0.716210860087198,0.886642885453825,0.738010305192231,0.744748315497424,0.886642885453825,0.927863654379707,0.886642885453825,0.886642885453825,0.927863654379707,0.716210860087198,0.716210860087198,0.886642885453825,0.738010305192231,0.908442330558858
"Palmaria palmata",0.738010305192231,0.956401109789933,0.927863654379707,0.738010305192231,0.927863654379707,0.716210860087198,0.716210860087198,0.886642885453825,0.915180340864051,0.716210860087198,0.927863654379707,0.716210860087198,0.738010305192231,0.915180340864051,0.716210860087198,0,0.886642885453825,0.738010305192231,0.744748315497424,0.886642885453825,0.927863654379707,0.886642885453825,0.886642885453825,0.927863654379707,0.716210860087198,0.716210860087198,0.886642885453825,0.738010305192231,0.908442330558858
"Alaria esculenta",0.908442330558858,0.956401109789933,0.727044523715154,0.908442330558858,0.727044523715154,0.886642885453825,0.886642885453825,0.685823754789272,0.915180340864051,0.886642885453825,0.727044523715154,0.886642885453825,0.908442330558858,0.915180340864051,0.886642885453825,0.886642885453825,0,0.908442330558858,0.915180340864051,0.886642885453825,0.727044523715154,0.685823754789272,0.886642885453825,0.727044523715154,0.886642885453825,0.886642885453825,0.685823754789272,0.908442330558858,0.908442330558858
"Polysiphonia",0.759809750297265,0.978200554894966,0.94966309948474,0.759809750297265,0.94966309948474,0.738010305192231,0.738010305192231,0.908442330558858,0.936979785969084,0.738010305192231,0.94966309948474,0.738010305192231,0.759809750297265,0.936979785969084,0.738010305192231,0.738010305192231,0.908442330558858,0,0.766547760602457,0.908442330558858,0.94966309948474,0.908442330558858,0.908442330558858,0.94966309948474,0.738010305192231,0.738010305192231,0.908442330558858,0.738010305192231,0.908442330558858
"Porphyra",0.766547760602457,0.847403884264764,0.956401109789933,0.766547760602457,0.956401109789933,0.744748315497424,0.744748315497424,0.915180340864051,0.806183115338882,0.744748315497424,0.956401109789933,0.744748315497424,0.766547760602457,0.806183115338882,0.744748315497424,0.744748315497424,0.915180340864051,0.766547760602457,0,0.915180340864051,0.956401109789933,0.915180340864051,0.915180340864051,0.956401109789933,0.744748315497424,0.744748315497424,0.915180340864051,0.766547760602457,0.936979785969084
"Ahnfeltia plicata",0.908442330558858,0.743691372704452,0.927863654379707,0.908442330558858,0.927863654379707,0.886642885453825,0.886642885453825,0.886642885453825,0.702470603778571,0.886642885453825,0.927863654379707,0.886642885453825,0.908442330558858,0.702470603778571,0.886642885453825,0.886642885453825,0.886642885453825,0.908442330558858,0.915180340864051,0,0.927863654379707,0.886642885453825,0.673933148368345,0.927863654379707,0.886642885453825,0.886642885453825,0.886642885453825,0.908442330558858,0.695732593473378
"Pylaiella littoralis",0.94966309948474,0.850046241247193,0.620689655172414,0.94966309948474,0.620689655172414,0.927863654379707,0.927863654379707,0.727044523715154,0.956401109789933,0.927863654379707,0.620689655172414,0.927863654379707,0.94966309948474,0.956401109789933,0.927863654379707,0.927863654379707,0.727044523715154,0.94966309948474,0.956401109789933,0.927863654379707,0,0.727044523715154,0.927863654379707,0.620689655172414,0.927863654379707,0.927863654379707,0.727044523715154,0.94966309948474,0.94966309948474
"Leathesia marina",0.908442330558858,0.956401109789933,0.727044523715154,0.908442330558858,0.727044523715154,0.886642885453825,0.886642885453825,0.685823754789272,0.915180340864051,0.886642885453825,0.727044523715154,0.886642885453825,0.908442330558858,0.915180340864051,0.886642885453825,0.886642885453825,0.685823754789272,0.908442330558858,0.915180340864051,0.886642885453825,0.727044523715154,0,0.886642885453825,0.727044523715154,0.886642885453825,0.886642885453825,0.685823754789272,0.908442330558858,0.908442330558858
"Spongomorpha aeruginosa",0.908442330558858,0.743691372704452,0.927863654379707,0.908442330558858,0.927863654379707,0.886642885453825,0.886642885453825,0.886642885453825,0.702470603778571,0.886642885453825,0.927863654379707,0.886642885453825,0.908442330558858,0.702470603778571,0.886642885453825,0.886642885453825,0.886642885453825,0.908442330558858,0.915180340864051,0.673933148368345,0.927863654379707,0.886642885453825,0,0.927863654379707,0.886642885453825,0.886642885453825,0.886642885453825,0.908442330558858,0.695732593473378
"Elachista fucicola",0.94966309948474,0.850046241247193,0.620689655172414,0.94966309948474,0.620689655172414,0.927863654379707,0.927863654379707,0.727044523715154,0.956401109789933,0.927863654379707,0.620689655172414,0.927863654379707,0.94966309948474,0.956401109789933,0.927863654379707,0.927863654379707,0.727044523715154,0.94966309948474,0.956401109789933,0.927863654379707,0.620689655172414,0.727044523715154,0.927863654379707,0,0.927863654379707,0.927863654379707,0.727044523715154,0.94966309948474,0.94966309948474
"Ptilota serrata",0.738010305192231,0.956401109789933,0.927863654379707,0.738010305192231,0.927863654379707,0.716210860087198,0.716210860087198,0.886642885453825,0.915180340864051,0.716210860087198,0.927863654379707,0.716210860087198,0.738010305192231,0.915180340864051,0.716210860087198,0.716210860087198,0.886642885453825,0.738010305192231,0.744748315497424,0.886642885453825,0.927863654379707,0.886642885453825,0.886642885453825,0.927863654379707,0,0.716210860087198,0.886642885453825,0.738010305192231,0.908442330558858
"Cystoclonium purpureum",0.738010305192231,0.956401109789933,0.927863654379707,0.738010305192231,0.927863654379707,0.716210860087198,0.716210860087198,0.886642885453825,0.915180340864051,0.716210860087198,0.927863654379707,0.716210860087198,0.738010305192231,0.915180340864051,0.716210860087198,0.716210860087198,0.886642885453825,0.738010305192231,0.744748315497424,0.886642885453825,0.927863654379707,0.886642885453825,0.886642885453825,0.927863654379707,0.716210860087198,0,0.886642885453825,0.738010305192231,0.908442330558858
