"","species","group","common_name_division_bgr","body_size_avg_bin","calcareous","dietary_pref_c","trophic_level","motility_juv","motility_adult","benthic","epibiotic","intertidal","subtidal"
"132","Didemnum albidum","Invertebrate","Tunicate","small","no","filter-suspension","primary consumer","motile","sessile","yes","yes","no","yes"
"133","Didemnum vexillum","Invertebrate","Tunicate","small","no","filter-suspension","primary consumer","sessile","sessile","yes","yes","yes","yes"
"134","Diplosoma listerianum","Invertebrate","Tunicate","very small","no","filter-suspension","primary consumer","motile","sessile","yes","yes","no","yes"
"135","Tunicate","Invertebrate","Tunicate","small","no","filter-suspension","primary consumer","motile","sessile","yes","yes","no","yes"
"136","Small worm","Invertebrate","Small worm","small","no","filter-suspension","primary consumer","motile","motile","yes","no","yes","yes"
"137","Cyclopterus lumpus","Vertebrate","Fish","large","no","predator","secondary consumer","motile","motile","yes","no","no","yes"
"138","Morone saxatilis","Vertebrate","Fish","very large","no","predator","secondary consumer","motile","motile","yes","no","no","yes"
"139","Myoxocephalus octodecemspinosus","Vertebrate","Fish","medium-large","no","predator","secondary consumer","motile","motile","yes","no","no","yes"
"140","Myoxocephalus scorpius","Vertebrate","Fish","large","no","predator","secondary consumer","motile","motile","yes","no","no","yes"
"141","Pholis gunnellus","Vertebrate","Fish","medium","no","predator","secondary consumer","motile","motile","yes","no","no","yes"
"142","Pollachius virens","Vertebrate","Fish","very large","no","predator","secondary consumer","motile","motile","yes","no","no","yes"
"143","Pseudopleuronectes americanus","Vertebrate","Fish","large","no","predator","secondary consumer","motile","motile","yes","no","no","yes"
"144","Tautoga onitis","Vertebrate","Fish","large","no","predator","secondary consumer","motile","motile","yes","no","no","yes"
"145","Tautogolabrus adspersus","Vertebrate","Fish","medium-large","no","predator","secondary consumer","motile","motile","yes","no","no","yes"
"146","Urophycis regia","Vertebrate","Fish","medium-large","no","predator","secondary consumer","motile","motile","yes","no","no","yes"
"147","Gaidropsarus","Vertebrate","Fish","medium-large","no","predator","secondary consumer","motile","motile","yes","no","no","yes"
