"","Agarum clathratum","Alaria esculenta","Ascophyllum nodosum","Colpomenia peregrina","Desmarestia aculeata","Desmarestia viridis","Elachista fucicola","Halosiphon tomentosus","Laminaria digitata","Saccharina latissima","Saccorhiza dermatodea","Codium fragile","Prasiola stipitata","Ulva lactuca","Bonnemaisonia hamifera","Ceramium","Chondrus crispus","Clathromorphum circumscriptum","Coccotylus truncatus","Corallina officinalis","Cystoclonium purpureum","Dasysiphonia japonica","Dumontia contorta","Euthora cristata","Hildenbrandia rubra","Leptophytum acervatum","Lithophyllum ","Lithothamnion","Mastocarpus stellatus","Palmaria palmata","Phycodrys rubens","Phymatolithon lenormandii","Polyides rotunda","Polysiphonia","Porphyra","Ptilota serrata","Spermothamnion repens","Titanoderma"
"Saccorhiza dermatodea",0.545498614958449,0.568421052631579,0.64882271468144,0.837257617728532,0.834279778393352,0.834279778393352,0.881786703601108,0.834279778393352,0.695360110803324,0.548476454293629,0,0.819529085872576,0.844113573407202,0.913573407202216,0.88898891966759,0.832202216066482,0.819529085872576,0.819529085872576,0.88601108033241,0.913573407202216,0.819529085872576,0.88601108033241,0.975415512465374,0.88898891966759,0.819529085872576,0.955470914127424,0.88601108033241,0.88601108033241,0.819529085872576,0.88898891966759,0.88601108033241,0.913573407202216,0.88601108033241,0.88898891966759,0.819529085872576,0.819529085872576,0.955470914127424,0.88601108033241
"Codium fragile",0.88601108033241,0.90893351800554,0.90893351800554,0.806094182825485,0.75595567867036,0.75595567867036,0.933518005540166,0.75595567867036,0.955470914127424,0.88898891966759,0.819529085872576,0,0.793005540166205,0.779224376731302,0.805747922437673,0.872229916897507,0.689473684210526,0.819529085872576,0.803116343490305,0.913573407202216,0.689473684210526,0.88601108033241,0.845360110803324,0.75893351800554,0.819529085872576,0.955470914127424,0.88601108033241,0.88601108033241,0.689473684210526,0.592797783933518,0.75595567867036,0.913573407202216,0.88601108033241,0.805747922437673,0.819529085872576,0.606232686980609,0.955470914127424,0.88601108033241
"Prasiola stipitata",0.910595567867036,0.933518005540166,0.933518005540166,0.682063711911357,0.910595567867036,0.910595567867036,0.67915512465374,0.910595567867036,0.98005540166205,0.913573407202216,0.844113573407202,0.793005540166205,0,0.606717451523546,0.763573407202216,0.98005540166205,0.844113573407202,0.694113573407202,0.760595567867036,0.740720221606648,0.844113573407202,0.760595567867036,1,0.832063711911357,0.694113573407202,0.83005540166205,0.760595567867036,0.760595567867036,0.844113573407202,0.913573407202216,0.827700831024931,0.740720221606648,0.760595567867036,0.763573407202216,0.611218836565097,0.844113573407202,0.748545706371191,0.760595567867036
"Ulva lactuca",0.98005540166205,0.884072022160665,0.884072022160665,0.714127423822715,0.98005540166205,0.98005540166205,0.711218836565097,0.98005540166205,0.930609418282549,0.864127423822715,0.913573407202216,0.779224376731302,0.606717451523546,0,0.630886426592798,0.847368421052632,0.913573407202216,0.763573407202216,0.83005540166205,0.691274238227147,0.913573407202216,0.83005540166205,0.950554016620499,0.864127423822715,0.763573407202216,0.780609418282548,0.83005540166205,0.83005540166205,0.913573407202216,0.780886426592798,0.897160664819945,0.691274238227147,0.83005540166205,0.630886426592798,0.680678670360111,0.830332409972299,0.780609418282548,0.83005540166205
"Bonnemaisonia hamifera",0.955470914127424,0.859487534626039,0.859487534626039,0.689542936288089,0.955470914127424,0.955470914127424,0.646468144044321,0.86786703601108,0.906024930747922,0.839542936288089,0.88898891966759,0.805747922437673,0.763573407202216,0.630886426592798,0,0.675069252077562,0.82887811634349,0.67887811634349,0.745360110803324,0.654016620498615,0.82887811634349,0.657756232686981,0.865858725761773,0.779432132963989,0.67887811634349,0.695914127423823,0.745360110803324,0.745360110803324,0.82887811634349,0.696191135734072,0.895360110803324,0.654016620498615,0.745360110803324,0.458587257617729,0.67887811634349,0.745637119113573,0.608310249307479,0.745360110803324
"Ceramium",0.783448753462604,0.802700831024931,0.802700831024931,0.906024930747922,0.906717451523546,0.906717451523546,0.862950138504155,0.819113573407202,0.734002770083102,0.782756232686981,0.832202216066482,0.872229916897507,0.98005540166205,0.847368421052632,0.675069252077562,0,0.895360110803324,0.895360110803324,0.846606648199446,0.870498614958449,0.895360110803324,0.759002770083102,0.817105263157895,0.845914127423823,0.895360110803324,0.797160664819945,0.846606648199446,0.846606648199446,0.895360110803324,0.762673130193906,0.846606648199446,0.870498614958449,0.846606648199446,0.675069252077562,0.895360110803324,0.812119113573407,0.709556786703601,0.846606648199446
"Chondrus crispus",0.88601108033241,0.90893351800554,0.90893351800554,0.88898891966759,0.661565096952909,0.661565096952909,0.933518005540166,0.75595567867036,0.955470914127424,0.88898891966759,0.819529085872576,0.689473684210526,0.844113573407202,0.913573407202216,0.82887811634349,0.895360110803324,0,0.759418282548477,0.735872576177285,0.763434903047091,0.534972299168975,0.82590027700831,0.600831024930748,0.604432132963989,0.669390581717451,0.805332409972299,0.735872576177285,0.735872576177285,0.44494459833795,0.69882271468144,0.605817174515235,0.763434903047091,0.641481994459834,0.82887811634349,0.759418282548477,0.534972299168975,0.895360110803324,0.82590027700831
"Clathromorphum circumscriptum",0.88601108033241,0.90893351800554,0.90893351800554,0.73898891966759,0.88601108033241,0.88601108033241,0.783518005540166,0.88601108033241,0.955470914127424,0.88898891966759,0.819529085872576,0.819529085872576,0.694113573407202,0.763573407202216,0.67887811634349,0.895360110803324,0.759418282548477,0,0.67590027700831,0.703462603878116,0.759418282548477,0.67590027700831,0.915304709141274,0.82887811634349,0.521814404432133,0.657756232686981,0.588296398891967,0.588296398891967,0.759418282548477,0.82887811634349,0.82590027700831,0.615858725761773,0.67590027700831,0.67887811634349,0.609418282548476,0.759418282548477,0.745360110803324,0.588296398891967
"Coccotylus truncatus",0.837257617728532,0.975415512465374,0.975415512465374,0.722576177285319,0.837257617728532,0.837257617728532,0.85,0.837257617728532,0.906717451523546,0.955470914127424,0.88601108033241,0.803116343490305,0.760595567867036,0.83005540166205,0.745360110803324,0.846606648199446,0.735872576177285,0.67590027700831,0,0.679916897506925,0.82590027700831,0.627146814404432,0.776523545706371,0.895360110803324,0.585872576177285,0.606578947368421,0.537119113573407,0.537119113573407,0.735872576177285,0.812465373961219,0.687119113573407,0.679916897506925,0.537119113573407,0.745360110803324,0.67590027700831,0.82590027700831,0.696606648199446,0.627146814404432
"Corallina officinalis",0.98005540166205,0.884072022160665,0.884072022160665,0.714127423822715,0.98005540166205,0.98005540166205,0.711218836565097,0.98005540166205,0.930609418282549,0.864127423822715,0.913573407202216,0.913573407202216,0.740720221606648,0.691274238227147,0.654016620498615,0.870498614958449,0.763434903047091,0.703462603878116,0.679916897506925,0,0.853462603878116,0.76994459833795,0.800415512465374,0.804016620498615,0.613434903047091,0.630470914127424,0.679916897506925,0.679916897506925,0.763434903047091,0.804016620498615,0.829916897506925,0.541135734072022,0.679916897506925,0.654016620498615,0.703462603878116,0.853462603878116,0.720498614958449,0.76994459833795
