"","Urticina felina","Semibalanus balanoides","Anomia simplex","Hiatella arctica","Modiolus modiolus","Mytilus edulis","Ostrea edulis","Placopecten magellanicus","Bugulina spicata","Crisia eburnea","Crisularia turrita","Dendrobeania murrayana","Membranipora membranacea","Patinella verrucaria","Schizoporella unicornis","Tricellaria inopinata","Boreochiton ruber","Stenosemus albus","Metridium senile","Pachycerianthus borealis","Amphipoda","Cancer borealis","Cancer irroratus","Carcinus maenus","Homarus americanus","Isopoda","Cucumaria frondosa","Echinarachnius parma","Ophiopholis aculeata","Strongylocentrotus droebachiensis","Buccinum undatum","Crepidula fornicata","Lacuna vincta","Littorina littorea","Littorina obtusata","Littorina saxatilis","Nucella lapillus","Tectura testudinalis","Testudinalia testudinalis","Thylacodes","Obelia","Spirorbis","Asterias forbesi","Asterias rubens","Henricia sanguinolenta","Halichondria panicea","Halisarca dujardinii","Hymedesmia","Leucosolenia","Aplidium pallidum","Boltenia echinata","Boltenia ovifera","Botrylloides violaceus","Botryllus schlosseri","Ciona intestinalis","Ciona savignyi","Dendrodoa carnea","Didemnum albidum","Didemnum vexillum","Diplosoma listerianum","Cyclopterus lumpus","Morone saxatilis","Myoxocephalus octodecemspinosus","Myoxocephalus scorpius","Pholis gunnellus","Pollachius virens","Pseudopleuronectes americanus","Tautoga onitis","Tautogolabrus adspersus","Urophycis regia"
"Crisularia turrita",0.751067503924647,0.697001569858713,0.680423861852433,0.613312401883831,0.652731554160126,0.652731554160126,0.628116169544741,0.603500784929356,0.491428571428571,0.579152276295133,0,0.532621664050235,0.540659340659341,0.465510204081633,0.514740973312402,0.491428571428571,0.710737833594976,0.755871271585557,0.7761852433281,0.744395604395604,0.808304552590267,0.784521193092622,0.784521193092622,0.792998430141287,0.802401883830455,0.832794348508634,0.802401883830455,0.735290423861852,0.802401883830455,0.692857142857143,0.690156985871271,0.594160125588697,0.75243328100471,0.763045525902669,0.804238618524333,0.765682888540031,0.783657770800628,0.832794348508634,0.536389324960754,0.536389324960754,0.716703296703297,0.697001569858713,0.784521193092622,0.851632653061224,0.6861852433281,0.652731554160126,0.652731554160126,0.652731554160126,0.603500784929356,0.630753532182104,0.652731554160126,0.585620094191523,0.678649921507064,0.727880690737834,0.611538461538462,0.703767660910518,0.652731554160126,0.652731554160126,0.736420722135008,0.678649921507064,0.872040816326531,0.872040816326531,0.872040816326531,0.872040816326531,0.872040816326531,0.872040816326531,0.872040816326531,0.872040816326531,0.872040816326531,0.872040816326531
"Dendrobeania murrayana",0.69010989010989,0.697001569858713,0.680423861852433,0.680423861852433,0.591773940345369,0.591773940345369,0.695227629513344,0.5425431711146,0.558540031397174,0.579152276295133,0.532621664050235,0,0.607770800627943,0.532621664050235,0.581852433281005,0.558540031397174,0.710737833594976,0.755871271585557,0.7761852433281,0.744395604395604,0.808304552590267,0.851632653061224,0.851632653061224,0.86010989010989,0.802401883830455,0.832794348508634,0.802401883830455,0.802401883830455,0.741444270015699,0.759968602825746,0.757268445839874,0.6612715855573,0.75243328100471,0.830156985871272,0.804238618524333,0.832794348508634,0.850769230769231,0.832794348508634,0.603500784929356,0.603500784929356,0.716703296703297,0.697001569858713,0.851632653061224,0.851632653061224,0.753296703296703,0.591773940345369,0.591773940345369,0.591773940345369,0.5425431711146,0.697864992150706,0.652731554160126,0.652731554160126,0.617692307692308,0.666923076923077,0.678649921507064,0.642810047095761,0.652731554160126,0.652731554160126,0.736420722135008,0.678649921507064,0.872040816326531,0.872040816326531,0.872040816326531,0.872040816326531,0.811083202511774,0.872040816326531,0.872040816326531,0.872040816326531,0.872040816326531,0.872040816326531
"Membranipora membranacea",0.826216640502355,0.685996860282575,0.669419152276295,0.602307692307692,0.641726844583987,0.641726844583987,0.567927786499215,0.678649921507064,0.517394034536892,0.654301412872841,0.540659340659341,0.607770800627943,0,0.540659340659341,0.503736263736264,0.517394034536892,0.785886970172684,0.831020408163265,0.765180533751962,0.819544740973312,0.748116169544741,0.773516483516483,0.773516483516483,0.732810047095761,0.877551020408163,0.821789638932496,0.877551020408163,0.81043956043956,0.877551020408163,0.681852433281005,0.76530612244898,0.583155416012559,0.741428571428571,0.702857142857143,0.793233908948195,0.754678178963893,0.77265306122449,0.821789638932496,0.611538461538462,0.611538461538462,0.791852433281005,0.685996860282575,0.773516483516483,0.840627943485086,0.675180533751962,0.727880690737834,0.727880690737834,0.727880690737834,0.678649921507064,0.705902668759812,0.727880690737834,0.660769230769231,0.704615384615385,0.667692307692308,0.637503924646782,0.729733124018838,0.727880690737834,0.727880690737834,0.676232339089482,0.704615384615385,0.947189952904239,0.947189952904239,0.947189952904239,0.947189952904239,0.947189952904239,0.947189952904239,0.947189952904239,0.947189952904239,0.947189952904239,0.947189952904239
"Patinella verrucaria",0.751067503924647,0.697001569858713,0.680423861852433,0.613312401883831,0.652731554160126,0.652731554160126,0.628116169544741,0.603500784929356,0.491428571428571,0.579152276295133,0.465510204081633,0.532621664050235,0.540659340659341,0,0.514740973312402,0.491428571428571,0.710737833594976,0.755871271585557,0.7761852433281,0.744395604395604,0.808304552590267,0.784521193092622,0.784521193092622,0.792998430141287,0.802401883830455,0.832794348508634,0.802401883830455,0.735290423861852,0.802401883830455,0.692857142857143,0.690156985871271,0.594160125588697,0.75243328100471,0.763045525902669,0.804238618524333,0.765682888540031,0.783657770800628,0.832794348508634,0.536389324960754,0.536389324960754,0.716703296703297,0.697001569858713,0.784521193092622,0.851632653061224,0.6861852433281,0.652731554160126,0.652731554160126,0.652731554160126,0.603500784929356,0.630753532182104,0.652731554160126,0.585620094191523,0.678649921507064,0.727880690737834,0.611538461538462,0.703767660910518,0.652731554160126,0.652731554160126,0.736420722135008,0.678649921507064,0.872040816326531,0.872040816326531,0.872040816326531,0.872040816326531,0.872040816326531,0.872040816326531,0.872040816326531,0.872040816326531,0.872040816326531,0.872040816326531
"Schizoporella unicornis",0.800298273155416,0.660078492935636,0.643500784929356,0.576389324960753,0.615808477237049,0.615808477237049,0.591193092621664,0.652731554160126,0.540659340659341,0.628383045525903,0.514740973312402,0.581852433281005,0.503736263736264,0.514740973312402,0,0.540659340659341,0.759968602825746,0.805102040816327,0.739262166405024,0.793626373626374,0.77138147566719,0.747598116169545,0.747598116169545,0.75607535321821,0.851632653061224,0.795871271585557,0.851632653061224,0.784521193092622,0.851632653061224,0.655934065934066,0.739387755102041,0.55723704866562,0.715510204081633,0.726122448979592,0.767315541601256,0.728759811616954,0.746734693877551,0.795871271585557,0.585620094191523,0.585620094191523,0.765934065934066,0.660078492935636,0.747598116169545,0.814709576138148,0.649262166405024,0.701962323390895,0.701962323390895,0.701962323390895,0.652731554160126,0.679984301412873,0.701962323390895,0.634850863422292,0.727880690737834,0.690957613814757,0.660769230769231,0.752998430141287,0.701962323390895,0.701962323390895,0.699497645211931,0.727880690737834,0.9212715855573,0.9212715855573,0.9212715855573,0.9212715855573,0.9212715855573,0.9212715855573,0.9212715855573,0.9212715855573,0.9212715855573,0.9212715855573
"Tricellaria inopinata",0.776985871271586,0.722919937205652,0.706342229199372,0.639230769230769,0.678649921507064,0.678649921507064,0.604850863422292,0.629419152276295,0.468163265306122,0.605070643642072,0.491428571428571,0.558540031397174,0.517394034536892,0.491428571428571,0.540659340659341,0,0.736656200941915,0.781789638932496,0.802103610675039,0.770313971742543,0.785039246467818,0.81043956043956,0.81043956043956,0.769733124018838,0.828320251177394,0.858712715855573,0.828320251177394,0.761208791208791,0.828320251177394,0.718775510204082,0.71607535321821,0.620078492935636,0.778351648351648,0.73978021978022,0.830156985871272,0.79160125588697,0.809576138147567,0.858712715855573,0.562307692307692,0.562307692307692,0.742621664050235,0.722919937205652,0.81043956043956,0.877551020408163,0.712103610675039,0.678649921507064,0.678649921507064,0.678649921507064,0.629419152276295,0.656671899529042,0.678649921507064,0.611538461538462,0.655384615384615,0.704615384615385,0.588273155416013,0.680502354788069,0.678649921507064,0.678649921507064,0.713155416012559,0.655384615384615,0.897959183673469,0.897959183673469,0.897959183673469,0.897959183673469,0.897959183673469,0.897959183673469,0.897959183673469,0.897959183673469,0.897959183673469,0.897959183673469
"Boreochiton ruber",0.806499215070644,0.743281004709576,0.726703296703297,0.787660910518053,0.759968602825746,0.759968602825746,0.802464678178964,0.710737833594976,0.736656200941915,0.696310832025118,0.710737833594976,0.710737833594976,0.785886970172684,0.710737833594976,0.759968602825746,0.736656200941915,0,0.539795918367347,0.883422291993721,0.851632653061224,0.759795918367347,0.812276295133438,0.812276295133438,0.820753532182104,0.763045525902669,0.685698587127159,0.763045525902669,0.763045525902669,0.763045525902669,0.673830455259027,0.717912087912088,0.76850863422292,0.70392464678179,0.744018838304553,0.657142857142857,0.746656200941915,0.811412872841444,0.685698587127159,0.710737833594976,0.710737833594976,0.76850863422292,0.804238618524333,0.812276295133438,0.812276295133438,0.76574568288854,0.759968602825746,0.759968602825746,0.759968602825746,0.710737833594976,0.805102040816327,0.699010989010989,0.759968602825746,0.785886970172684,0.835117739403454,0.785886970172684,0.811004709576138,0.699010989010989,0.699010989010989,0.782700156985871,0.785886970172684,0.832684458398744,0.832684458398744,0.832684458398744,0.832684458398744,0.832684458398744,0.832684458398744,0.832684458398744,0.832684458398744,0.832684458398744,0.832684458398744
"Stenosemus albus",0.851632653061224,0.788414442700157,0.771836734693877,0.832794348508634,0.805102040816327,0.805102040816327,0.847598116169545,0.755871271585557,0.781789638932496,0.741444270015699,0.755871271585557,0.755871271585557,0.831020408163265,0.755871271585557,0.805102040816327,0.781789638932496,0.539795918367347,0,0.928555729984301,0.816310832025118,0.804929356357928,0.776954474097331,0.776954474097331,0.865886970172684,0.727723704866562,0.650376766091052,0.727723704866562,0.727723704866562,0.727723704866562,0.718963893249608,0.763045525902669,0.813642072213501,0.74905808477237,0.789152276295133,0.702276295133438,0.711334379905809,0.856546310832025,0.650376766091052,0.755871271585557,0.755871271585557,0.813642072213501,0.849372056514914,0.776954474097331,0.776954474097331,0.730423861852433,0.805102040816327,0.805102040816327,0.805102040816327,0.755871271585557,0.76978021978022,0.74414442700157,0.805102040816327,0.831020408163265,0.880251177394034,0.831020408163265,0.856138147566719,0.74414442700157,0.74414442700157,0.827833594976452,0.831020408163265,0.797362637362637,0.797362637362637,0.797362637362637,0.797362637362637,0.797362637362637,0.797362637362637,0.797362637362637,0.797362637362637,0.797362637362637,0.797362637362637
"Metridium senile",0.752841444270016,0.731224489795918,0.714646781789639,0.714646781789639,0.739262166405024,0.739262166405024,0.781758241758242,0.7761852433281,0.802103610675039,0.7761852433281,0.7761852433281,0.7761852433281,0.765180533751962,0.7761852433281,0.739262166405024,0.802103610675039,0.883422291993721,0.928555729984301,0,0.617503924646782,0.757770800627943,0.853406593406593,0.853406593406593,0.809576138147567,0.830643642072213,0.86701726844584,0.868869701726845,0.928555729984301,0.89032967032967,0.846499215070644,0.845196232339089,0.747802197802198,0.786656200941915,0.864379905808477,0.838461538461538,0.86701726844584,0.800235478806907,0.86701726844584,0.7761852433281,0.7761852433281,0.743547880690738,0.731224489795918,0.853406593406593,0.793720565149137,0.839827315541601,0.739262166405024,0.739262166405024,0.739262166405024,0.7761852433281,0.784395604395604,0.739262166405024,0.739262166405024,0.765180533751962,0.728257456828885,0.765180533751962,0.790298273155416,0.739262166405024,0.739262166405024,0.73679748822606,0.765180533751962,0.873814756671899,0.873814756671899,0.814128728414443,0.873814756671899,0.873814756671899,0.873814756671899,0.873814756671899,0.873814756671899,0.814128728414443,0.814128728414443
"Pachycerianthus borealis",0.72105180533752,0.837896389324961,0.821318681318681,0.821318681318681,0.793626373626374,0.793626373626374,0.836122448979592,0.744395604395604,0.770313971742543,0.744395604395604,0.744395604395604,0.744395604395604,0.819544740973312,0.744395604395604,0.793626373626374,0.770313971742543,0.851632653061224,0.816310832025118,0.617503924646782,0,0.864442700156986,0.827315541601256,0.827315541601256,0.916248037676609,0.71839874411303,0.893233908948195,0.756624803767661,0.816310832025118,0.778084772370487,0.900863422291994,0.813406593406593,0.802166405023548,0.893328100470958,0.97105180533752,0.945133437990581,0.893233908948195,0.90690737833595,0.893233908948195,0.744395604395604,0.744395604395604,0.711758241758242,0.837896389324961,0.827315541601256,0.767629513343799,0.813736263736264,0.707472527472527,0.707472527472527,0.707472527472527,0.744395604395604,0.672150706436421,0.707472527472527,0.707472527472527,0.733390894819466,0.782621664050235,0.733390894819466,0.75850863422292,0.707472527472527,0.707472527472527,0.79116169544741,0.733390894819466,0.761569858712716,0.761569858712716,0.701883830455259,0.761569858712716,0.761569858712716,0.761569858712716,0.761569858712716,0.761569858712716,0.701883830455259,0.701883830455259
