binomial,id,1911,1959,1994,2016,weight,TotalCulmen,BillWidth,WingLength,TailLength,Tarsus,HWI,Hab_breadth,Gen_length,Historical Abundance,Current Abundance,POP,IUCN,Data_Source,Functional_Uniqueness,Functional_Distinctiveness,Comp.1,Comp.2,Comp.3,Comp.4,Comp.5,Comp.6,Comp.7,Comp.8,Comp.9
Pygochelidon cyanoleuca,135,1,1,1,1,8.00,8.48,4.60,96.37,47.28,9.95,49.56,5,4.1,0.6,0.6,C,LC,MontoyaEtAl2018,0.027019956,0.138242736,-1.513036223,-1.715508797,0.187587855,-0.070952981,-0.184633409,-0.178483051,0.307705186,-0.258894432,-0.489600671
Troglodytes aedon,136,1,1,1,1,13.80,16.55,3.31,53.91,39.78,20.10,14.51,11,3.6,0.6,0.8,C,LC,MontoyaEtAl2018,0.040240171,0.139262118,-1.303729147,-0.470281503,-2.451784582,0.652274156,0.464433711,0.512847039,-0.263938168,0.11565951,0.135750485
Pheugopedius mystacalis,137,1,1,,1,28.15,20.39,5.32,65.55,58.76,26.44,4.13,3,3.9,0.8,0.6,C,LC,Medidas ICN-Mahecha,0.023671558,0.111756017,-0.694552294,1.334406549,0.009568761,0.162637861,0.170261593,0.231912773,-0.165445051,-0.004014271,0.126542415
Henicorhina leucophrys,138,1,1,1,1,14.90,16.75,3.20,54.38,29.28,23.68,7.85,1,3.6,1,1,C,LC,MontoyaEtAl2018,0.018017417,0.124592678,-1.625521032,1.278473065,0.772154106,0.060166866,0.365918585,0.38545907,-0.223052987,0.043674773,-0.071347554
Cyphorhinus thoracicus,139,1,1,1,1,26.00,23.60,3.72,63.00,45.51,28.32,1.97,1,3.8,1,0.8,C,LC,MontoyaEtAl2018,0.027922637,0.127974226,-0.938629349,1.698438667,0.686419446,0.051339869,0.274382351,0.532383765,-0.347441702,0.204478664,0.124522953
Ramphocaenus melanurus,140,1,1,,1,10.70,24.80,2.98,49.70,40.90,21.10,4.15,3,3.2,0.2,0.2,C,LC,Medidas ICN-Mahecha,0.031795214,0.123438305,-1.584398646,1.213350185,-0.080746657,-0.18921393,0.113853398,0.513290284,-0.586464342,0.322728077,-0.061886025
Myadestes ralloides,141,1,1,1,1,27.64,15.03,4.72,82.89,71.51,19.67,18.94,3,4.5,1,1,C,LC,MontoyaEtAl2018,0.018549657,0.097616301,-0.695395884,0.359859889,0.366636561,0.247349474,-0.047962105,-0.222885989,-0.003142345,0.057991455,0.133786028
Catharus ustulatus,142,1,1,1,1,19.25,16.38,4.74,96.42,63.55,27.17,31.43,12,4.3,1,1,C,LC,Medidas ICN-Mahecha,0.054623299,0.148567439,-0.255341777,-1.443915869,-2.340710807,0.893544788,0.239528525,0.599511732,-0.152297143,-0.214849858,-0.071133587
Turdus leucops,143,1,1,1,1,64.71,22.05,7.08,112.50,74.88,26.52,24.15,1,6.1,0.4,0.8,C,LC,MontoyaEtAl2018,0.01670406,0.129427506,0.530812154,0.421387691,1.262013278,-0.091220672,0.312373144,-0.19686074,0.150904269,-0.016146628,0.214679776
Turdus obsoletus,144,1,,,,74.80,22.04,6.61,117.44,78.03,26.65,26.47,2,6.1,0.4,0,A,LC,Medidas ICN,0.01670406,0.126018282,0.63538537,0.154905302,1.011191742,0.067369556,0.2733512,-0.123894011,0.173021746,0.062866181,0.29072122
