binomial,id,1911,1959,1994,2016,weight,TotalCulmen,BillWidth,WingLength,TailLength,Tarsus,HWI,Hab_breadth,Gen_length,Historical Abundance,Current Abundance,POP,IUCN,Data_Source,Functional_Uniqueness,Functional_Distinctiveness,Comp.1,Comp.2,Comp.3,Comp.4,Comp.5,Comp.6,Comp.7,Comp.8,Comp.9
Nothocercus bonapartei,1,1,1,,1,763.00,34.14,5.97,194.46,58.39,60.71,8.56,2,6.8,0.2,0.2,A,LC,MontoyaEtAl2018,0.07045555,0.223112292,2.869056442,1.472656469,1.21944787,1.239114,1.222680297,1.575257991,0.334974237,0.498533272,0.327886685
Tinamus tao,2,1,,,,1636.00,40.63,6.94,271.33,77.04,73.20,7.96,3,6.8,0.2,0,A,VU,MontoyaEtAl2018,0.07045555,0.268636845,4.317714055,1.49879944,1.058981473,1.711012801,1.043103194,2.119080267,0.472878895,0.777637258,-0.160916861
Crypturellus soui,3,1,1,1,1,236.00,22.11,4.58,127.99,46.80,36.54,13.16,4,6.8,0.4,0.2,C,LC,Medidas ICN,0.0718024,0.150868954,1.066602624,0.591454242,0.42255387,0.920272851,1.259525886,0.481339561,0.321944795,0.506582551,0.67242443
Chamaepetes goudotii,4,1,1,1,1,515.00,37.95,10.17,247.00,245.00,63.73,5.76,1,5.7,0.4,0.4,C,LC,MontoyaEtAl2018,0.066251362,0.301263648,4.789870475,2.002577647,1.174123273,1.422956454,-1.84002334,0.145620303,-0.654311345,0.01705071,-0.157194026
Penelope perspicax,5,1,,,,1197.00,35.81,11.72,297.50,305.32,77.82,6.05,3,5.7,0.6,0,A,EN,AMNH,0.089239856,0.354740399,6.347503296,1.928681558,0.662244739,2.390417435,-2.5100535,0.164302432,-0.6753167,-0.292264495,-0.28740588
Ortalis columbiana,6,1,,,1,520.00,30.84,9.85,217.50,255.00,66.21,6.89,7,5.7,0.6,0.8,C,LC,MontoyaEtAl2018,0.066251362,0.293316162,4.767429676,1.177931395,-0.778352054,2.201762524,-1.69874806,0.160838095,-0.777780011,-0.391416346,0.233025411
Odontophorus hyperythrus,7,1,1,1,1,339.50,23.85,10.95,142.20,59.85,53.10,4.64,2,3.9,0.8,0.4,C,NT,MontoyaEtAl2018,0.057726282,0.188970316,1.76576548,2.067213341,0.55405773,0.707915515,0.376866399,1.214112163,1.086658857,-0.598484514,-0.026499074
Patagioenas fasciata,8,1,1,1,1,287.73,25.78,5.45,171.40,112.89,24.93,37.32,5,6.9,0.6,0.6,C,LC,MontoyaEtAl2018,0.055712507,0.173118855,1.873728191,-0.918497462,0.457468827,0.620376304,-0.059395638,-0.163518008,0.450001219,0.773292844,0.720480292
Patagioenas cayennensis,9,1,,,1,229.00,18.70,5.10,172.90,135.00,26.20,64.65,5,6.6,0.8,0.2,C,LC,Medidas ICN-Mahecha,0.057241633,0.19993518,1.841746678,-2.306452541,0.980210195,0.813404095,-0.736050499,-0.120545612,0.554517208,0.114715306,0.728340015
Patagioenas subvinacea,10,1,,,,163.00,18.81,4.58,167.00,107.03,21.00,27.11,3,6.6,0.6,0,A,VU,MontoyaEtAl2018,0.055712507,0.145359622,1.153316005,-0.255276358,0.91846848,0.737156453,-0.040049539,-0.579477711,0.363120534,0.863191073,0.406510724
Geotrygon montana,11,1,1,1,1,110.00,19.49,3.66,132.90,58.05,27.55,30.02,4,4.6,0.8,0.4,C,LC,MontoyaEtAl2018,0.058370566,0.124810306,0.240614914,-0.255422287,0.506302497,0.698929294,0.12084144,0.632372214,0.579897356,0.460689138,0.310110687
Leptotila verreauxi,12,1,1,1,1,148.59,22.03,3.28,134.75,80.01,29.79,19.42,7,4.2,0.8,0.2,C,LC,MontoyaEtAl2018,0.051916639,0.137372271,0.604247256,-0.034635478,-0.692244322,1.134881904,-0.087330834,0.708129825,0.381309677,0.698749344,0.489204691
Zentrygon frenata,13,1,1,1,1,307.00,26.27,3.87,160.50,93.52,37.54,27.57,3,4.6,0.8,0.6,C,LC,MontoyaEtAl2018,0.06170918,0.160820827,1.391864306,0.213451167,0.8987781,0.977591816,-0.342628224,0.932698007,0.512986742,0.58434864,0.544997287
Tapera naevia,14,1,1,1,1,50.00,18.49,6.00,113.00,184.00,24.58,19.73,3,4.2,0.6,0.2,C,LC,Medidas ICN-Mahecha,0.06262928,0.138959647,0.801036023,0.506799092,0.329407074,0.673609796,-1.7560283,-0.825899539,-0.491356723,-0.070960044,0.347258896
Piaya cayana,15,1,1,1,1,102.00,33.77,10.79,145.33,265.00,36.14,11.18,8,4.2,0.8,0.6,C,LC,MontoyaEtAl2018,0.059420208,0.225425591,3.029322263,0.670397243,-1.652482819,0.735187351,-2.602312161,-0.777017221,-0.903867765,-0.274290263,0.395737071
Nyctidromus albicollis,16,1,1,1,1,53.20,14.28,5.77,147.89,114.23,19.53,41.78,8,5.4,0.8,0.2,C,LC,MontoyaEtAl2018,0.065300792,0.15212307,0.695983317,-1.600452031,-0.701154045,0.793459668,-0.490195217,-0.403172878,0.285268854,0.14189817,0.074730811
Hydropsalis cayennensis,17,1,1,,1,35.50,18.25,6.00,140.00,107.50,14.47,62.53,4,5.6,0.8,0.2,C,LC,Medidas ICN-Mahecha,0.064957486,0.155107469,0.393405236,-2.17642454,0.922471827,-0.134901725,-0.775086899,-0.392373525,0.327270881,-0.074816204,0.057342474
Streptoprocne rutila,18,1,1,1,1,20.20,8.50,3.92,126.33,42.90,12.80,62.90,4,7.2,0.6,0.6,C,LC,MontoyaEtAl2018,0.057262863,0.15830736,-0.514761723,-2.553722938,1.18116169,0.095903705,0.681407883,-0.475345351,0.308451061,-0.058889937,-0.088995016
Streptoprocne zonaris,19,1,1,1,1,119.75,13.12,6.11,208.00,66.76,21.97,65.33,4,7.2,0.6,0.6,C,LC,MontoyaEtAl2018,0.070729095,0.182170946,1.264050019,-2.464176353,1.405946807,0.529313869,0.354599077,-0.140767428,1.109606317,0.2632093,-0.195871572
Eutoxeres aquila,20,1,1,1,,12.00,27.95,4.38,66.50,56.00,5.30,42.28,2,4.2,0.2,0,C,LC,Medidas ICN-Mahecha,0.045097355,0.130999327,-1.319140559,-0.825430402,0.879804229,-1.194949666,-0.427221722,-0.011326231,-0.08515558,0.317543316,0.170785574
Phaethornis guy,21,1,1,1,1,5.79,42.76,3.58,59.50,64.79,3.92,38.88,5,4.2,0.8,0.2,C,LC,Medidas ICN-Mahecha,0.034403634,0.14902267,-1.199230464,-1.093779626,-0.29585219,-1.664587573,-0.512736747,0.330711625,-0.900416103,0.733889383,0.133347307
Phaethornis syrmatophorus,22,1,1,1,1,5.91,42.97,3.19,60.95,59.00,4.10,36.78,1,4.2,1,0.4,C,LC,Medidas ICN-Mahecha,0.035154207,0.154827403,-1.391661147,-0.45501282,1.012681405,-1.911183153,-0.551985394,0.273539134,-0.877733402,0.794467573,0.059676339
Doryfera ludovicae,23,1,1,,,5.77,35.98,2.92,61.18,32.49,6.63,36.50,3,4.2,0.2,0,C,LC,Medidas ICN-Mahecha,0.035154207,0.142844519,-1.645744744,-0.736987691,0.432389076,-1.451719129,-0.033139627,0.458900014,-0.626448179,0.633503211,-0.067868565
Schistes geoffroyi,24,1,1,1,1,3.60,16.23,2.08,38.20,34.98,3.67,31.35,2,4.2,0.4,0.2,C,LC,Medidas ICN-Mahecha,0.025879076,0.151708283,-2.549625176,-0.490123653,0.725314506,-0.739331348,0.032380279,-0.333920455,-0.55474856,0.176244521,-0.159068227
Adelomyia melanogenys,25,1,1,1,1,4.22,18.04,2.48,55.27,35.81,6.58,62.46,1,4.2,0.8,0.8,C,LC,MontoyaEtAl2018,0.025965369,0.175565821,-2.197321804,-1.880938631,1.66678145,-1.044236961,-0.351622931,0.147950333,-0.23959011,-0.265594691,-0.16355628
Aglaiocercus kingii,26,1,1,1,1,4.87,20.80,2.09,60.24,79.94,5.96,66.28,4,4.2,1,0.6,C,LC,MontoyaEtAl2018,0.033681983,0.168076886,-1.658430782,-2.476347265,0.730220289,-0.76238135,-0.950969222,0.00082119,-0.565551117,-0.171256268,0.102412655
Haplophaedia aureliae,27,1,1,1,1,5.20,22.72,1.72,58.72,36.46,14.70,66.41,1,4.2,1,0.8,C,LC,MontoyaEtAl2018,0.025965369,0.17046383,-1.845007772,-1.974772807,1.82048796,-0.937464204,-0.354270966,0.700994009,-0.439549858,-0.342602747,-0.066811668
Coeligena coeligena,28,1,1,1,1,6.40,33.43,2.20,67.43,42.95,12.00,62.40,2,4.2,1,0.6,C,LC,MontoyaEtAl2018,0.033486633,0.161725891,-1.443281785,-1.875330817,1.337978579,-1.342382317,-0.451278243,0.826811988,-0.541937858,0.111390141,0.031967416
Boissonneaua flavescens,29,1,1,1,1,9.20,22.31,2.11,75.86,46.07,7.30,62.33,4,4.2,0.4,0.4,C,LC,MontoyaEtAl2018,0.025740601,0.150954171,-1.561646494,-2.242029604,0.744860956,-0.721955355,-0.4126709,0.38448648,-0.071797467,0.141534796,0.106602939
Ocreatus underwoodii,30,1,1,1,1,2.60,16.63,1.48,42.37,82.29,4.30,68.94,3,4.2,1,1,C,LC,MontoyaEtAl2018,0.028486807,0.189890387,-2.161508258,-2.552807981,1.078545765,-0.807011301,-1.045264187,-0.218954792,-0.819761081,-0.422259947,0.018698912
Heliodoxa rubinoides,31,1,1,1,1,6.62,23.25,2.90,59.70,40.68,7.03,59.54,5,4.2,0.8,0.6,C,LC,MontoyaEtAl2018,0.025740601,0.155592997,-1.701781353,-2.204729877,0.275398562,-0.886474586,-0.262382427,0.373290242,-0.198487022,-0.026649911,0.075915387
Calliphlox mitchellii,32,1,1,,1,3.10,18.90,1.63,33.70,16.40,2.70,22.20,3,4.2,0.2,0.6,C,LC,Medidas ICN-Mahecha,0.034241184,0.156334048,-2.757228731,-0.194396118,0.21771381,-0.785867107,0.413959159,-0.201099541,-0.653344971,0.454117867,-0.214692202
Chlorostilbon melanorhynchus,33,1,1,1,1,2.60,17.70,1.69,46.29,26.93,3.35,66.05,3,4.2,0.6,0.6,C,LC,MontoyaEtAl2018,0.028486807,0.189864185,-2.551427034,-2.43475319,1.047612019,-1.056614931,-0.227428797,0.194155306,-0.397717932,-0.226342865,-0.208712881
Thalurania colombica,34,1,,,1,4.00,18.78,1.97,51.25,37.00,4.10,33.45,4,4.2,0.8,0.2,C,LC,Medidas ICN-Mahecha,0.025879076,0.14720754,-2.286434136,-0.874889285,0.125063429,-0.633136692,0.033049244,-0.161953538,-0.550515542,0.333342543,-0.179181558
Amazilia franciae,35,1,1,1,1,5.00,28.52,2.30,53.43,30.25,4.90,63.35,4,3.4,1,0.4,C,LC,MontoyaEtAl2018,0.036624352,0.175369685,-2.059433697,-2.215312176,0.571715068,-1.313884683,-0.493413719,0.735138244,-0.215439075,0.092222419,0.009952384
Amazilia saucerottei,36,1,1,1,1,4.00,22.13,2.33,51.71,29.63,4.97,69.78,10,3.4,0.6,0.6,C,LC,MontoyaEtAl2018,0.061973282,0.210928914,-2.062571955,-3.403949545,-1.272652853,-0.696592805,-0.30796769,0.788605391,-0.161538301,-0.153582807,-0.007353071
Hylocharis grayi,37,1,1,1,1,5.60,19.40,2.65,49.00,26.60,3.60,37.43,6,4.2,1,0.2,C,LC,Medidas ICN-Mahecha,0.033202624,0.149882252,-2.142780146,-1.295811927,-0.476922338,-0.626466973,0.214811242,0.018179152,-0.256619212,0.293908261,-0.011224569
Laterallus albigularis,38,1,,,,43.00,19.76,3.33,72.52,27.12,27.10,12.75,1,3.7,0.2,0,A,LC,Medidas ICN-Mahecha,0.035023787,0.123553581,-1.004301521,1.137431543,0.967980414,0.187154557,0.395464809,0.736796757,0.214142203,0.206027797,0.243094078
Mustelirallus colombianus,39,1,1,,,62.10,21.44,3.84,98.19,31.43,26.04,20.33,2,3.7,0.2,0,A,DD,AMNH,0.035023787,0.114611502,-0.59005933,0.612310271,0.804942788,0.197121137,0.254369525,0.825853616,0.510898479,0.351991396,0.199292826
Vanellus chilensis,40,1,1,1,1,327.00,33.72,5.93,218.33,79.97,75.67,69.70,3,8.9,0.6,0.6,C,LC,Medidas ICN-Mahecha,0.083152445,0.283652791,3.84316615,-1.900608087,2.286175531,1.197743571,1.040033614,2.176814746,-0.275764892,-0.886711515,0.09587707
Cathartes aura,41,1,1,1,1,1430.00,56.46,15.53,510.00,250.00,65.04,33.33,9,9.9,0.6,0.6,C,LC,MontoyaEtAl2018,0.15803569,0.444190626,8.776123506,-1.093600199,-0.399734559,1.434965931,-0.851787453,0.093454164,0.141880099,1.596785683,-2.04583595
Coragyps atratus,42,1,1,1,1,1640.00,57.00,16.45,402.33,156.67,79.72,24.77,9,18.6,0.6,0.6,C,LC,MontoyaEtAl2018,0.15803569,0.464754512,9.372296209,-1.163584684,0.082696532,1.028675694,3.560136508,-0.587814187,-1.2130049,0.695678419,-0.665921541
Accipiter striatus,43,1,,,,99.24,18.38,7.97,177.42,121.02,49.43,20.64,10,7.2,0.4,0,A,LC,MontoyaEtAl2018,0.066627823,0.204287285,2.5035059,-0.532451702,-1.433962566,1.717124557,0.559803341,0.162166005,-0.357144056,-0.36799006,-0.176917003
Buteo platypterus,44,1,1,1,1,355.75,29.79,11.09,276.75,168.06,59.25,90.33,4,9.3,0.6,0.6,C,LC,Medidas ICN-Mahecha,0.124377151,0.337969742,4.981829604,-3.230239662,2.110531632,0.777039469,-0.45540586,0.577399459,0.256462161,-1.04034888,-0.25013506
Ciccaba virgata,45,1,1,1,1,187.50,28.80,8.85,232.00,114.06,37.47,16.79,8,9.6,0.2,0.2,C,LC,MontoyaEtAl2018,0.066461567,0.216444733,3.330106015,-0.452255072,-0.685434775,0.968844783,1.184922738,-0.573528206,-0.184815498,0.786976924,-0.22196597
Glaucidium nubicola,46,1,1,,1,65.70,16.57,7.54,92.00,42.58,21.21,13.20,1,3.8,0.4,0.2,C,VU,Medidas ICN-Mahecha,0.030315335,0.118106778,-0.490167166,1.178086265,0.829146169,-0.10254166,0.177064968,0.062303891,0.899797189,-0.000795767,0.081363711
Pharomachrus auriceps,47,1,1,1,1,180.00,25.85,11.33,214.00,165.00,17.71,33.99,2,7.3,1,0.4,C,LC,MontoyaEtAl2018,0.034169155,0.201183768,2.657380011,-0.362891584,1.131925034,-0.157340505,-0.831666463,-1.46842734,0.59639609,0.501992062,-0.082948297
Pharomachrus antisianus,48,1,1,,1,136.00,21.56,8.15,197.00,135.09,16.63,33.85,2,7.3,0.6,0.2,C,LC,MontoyaEtAl2018,0.034169155,0.174665384,1.848743337,-0.508818419,1.257191515,0.142206278,-0.397710009,-1.227983281,0.466181595,0.700152575,0.021433425
Trogon collaris,49,1,1,1,1,64.20,18.10,10.78,118.70,138.70,16.80,48.28,4,7.3,1,0.8,C,LC,Medidas ICN-Mahecha,0.073930083,0.168045697,1.389371434,-1.321562776,0.579262169,-0.342665949,-0.452099802,-1.330795866,0.268855076,-0.596867356,0.440330024
Momotus aequatorialis,50,1,1,1,1,158.00,48.34,12.25,152.53,276.67,30.55,14.55,6,3.6,0.8,0.8,C,LC,MontoyaEtAl2018,0.059420208,0.233600648,3.434718374,0.917500173,-1.132895548,-0.251849171,-3.190248753,-0.60131223,-0.707568312,0.115156542,0.574865121
Hapaloptila castanea,51,1,1,,,80.60,38.99,12.85,110.04,87.16,21.00,16.10,3,6.3,0.2,0,A,LC,AMNH,0.058332567,0.141170826,1.467423366,0.786128882,0.080771796,-1.331176358,0.259603557,-0.406919908,0.304529875,0.039020161,0.246496366
Eubucco bourcierii,52,1,1,1,1,37.00,20.52,7.53,70.53,50.83,18.80,8.87,2,8.5,1,1,C,LC,Medidas ICN,0.048816513,0.130860496,0.123955104,0.741670266,0.685884437,-0.413210833,1.578928855,-1.085515901,-0.360429455,0.100216664,0.474792942
Semnornis ramphastinus,53,1,1,,,97.70,22.30,13.90,102.60,83.30,34.20,12.47,2,8.5,0.4,0,A,NT,Medidas ICN-Mahecha,0.059199101,0.164148191,1.845157915,1.032640285,0.6655558,-0.420454878,1.245372184,-0.949852276,0.192437788,-0.878215988,0.25072852
Ramphastos ambiguus,54,1,,,,599.00,155.33,40.46,225.83,161.33,52.10,12.86,5,11.5,0.8,0,A,NT,Medidas ICN,0.131894419,0.439636695,10.01059919,2.035104858,-1.58725272,-7.538823245,0.746321655,1.051239351,-0.511359036,-0.277639342,-0.256079831
Aulacorhynchus prasinus,55,1,1,1,1,172.33,68.37,21.90,132.02,118.30,33.14,6.08,9,7,0.8,0.8,C,LC,MontoyaEtAl2018,0.081916885,0.252618958,4.091199099,1.052127341,-2.446941385,-2.462582829,0.376882238,0.11669897,0.191663385,-0.289795536,0.200505723
Aulacorhynchus haematopygus,56,1,1,1,1,203.00,94.83,25.31,133.56,137.57,38.53,10.13,5,7,1,0.6,C,LC,MontoyaEtAl2018,0.081916885,0.273033116,5.179740222,1.72953642,-1.312530404,-4.086902988,-0.153538002,0.688029468,-0.181662653,-0.330898743,0.255315054
Andigena nigrirostris,57,1,,,,358.75,89.75,29.99,172.96,168.20,39.51,8.71,4,11.5,0.8,0,A,LC,MontoyaEtAl2018,0.090253673,0.331594315,6.882519102,1.602681018,-0.72159073,-4.113474296,0.841478309,-0.93828945,-0.288460501,-0.622145348,0.219091794
Picumnus granadensis,58,1,1,1,1,12.10,11.79,3.81,53.90,29.94,11.61,6.82,6,4.2,0.6,0.2,C,LC,Medidas ICN,0.031592293,0.12467098,-1.787921277,0.414174558,-0.946104544,0.222935549,0.644050227,-0.282398485,-0.064321305,0.305496342,-0.022159727
Melanerpes formicivorus,59,1,1,,1,77.50,27.53,7.86,133.91,72.28,21.03,29.52,6,5.6,1,0.2,C,LC,MontoyaEtAl2018,0.041130102,0.130758362,0.843175499,-0.525384549,-0.384044427,-0.151640205,0.221233113,0.061433805,0.475735281,0.358567503,0.168130403
Picoides fumigatus,60,1,1,1,1,40.17,22.78,6.59,101.87,46.77,16.60,20.00,4,4.8,0.8,0.4,C,LC,MontoyaEtAl2018,0.030194483,0.103642565,-0.313636573,0.188790089,0.006603791,-0.281412725,0.361406544,-0.008900006,0.423119176,0.363844844,0.051636055
Veniliornis dignus,61,1,1,1,1,37.60,20.63,7.13,96.67,47.50,18.54,18.90,1,4.2,0.6,0.4,C,LC,MontoyaEtAl2018,0.028013399,0.109584336,-0.524021635,0.759810854,0.917390892,-0.421332699,0.104331046,-0.007460595,0.541977126,0.104311578,-0.080255314
Colaptes rubiginosus,62,1,1,1,1,55.40,27.54,7.92,120.14,72.05,20.08,18.38,7,4.3,0.8,0.6,C,LC,MontoyaEtAl2018,0.034773602,0.119953707,0.412162218,0.026775917,-1.082230048,-0.103104719,-0.026673176,0.182836724,0.435956137,0.386807673,0.024448449
Campephilus melanoleucos,63,1,1,,,256.00,48.50,12.68,150.00,135.00,28.98,38.18,9,6.5,0.8,0,A,LC,Medidas ICN-Mahecha,0.062367556,0.22210923,3.140963961,-0.997535077,-1.360377997,-0.788532699,-0.387061088,0.271511116,0.304167515,0.134065544,0.744971354
Micrastur ruficollis,64,1,1,1,1,196.00,22.94,9.77,188.00,167.50,53.77,14.31,3,8.6,0.2,0.2,C,LC,MontoyaEtAl2018,0.074954923,0.223915202,3.488747752,0.793486987,0.83091004,1.277989836,0.178220341,-0.562314538,-0.640134106,-0.461641671,0.04919662
Milvago chimachima,65,1,1,1,1,329.00,30.04,13.46,291.17,192.92,46.89,38.07,7,10.3,0.6,0.8,C,LC,Medidas ICN,0.073460524,0.298085716,5.273134851,-1.210055472,0.044987627,0.9678224,0.069460517,-0.987410244,-0.072214291,0.008428103,-0.516090103
Falco sparverius,66,1,1,1,1,103.00,17.08,9.63,189.50,120.47,32.68,39.38,11,5.7,0.6,0.6,C,LC,MontoyaEtAl2018,0.056518964,0.20389023,2.080178004,-1.626857676,-1.695012065,1.111711637,-0.232042251,-0.035736115,0.607841757,-0.23845578,-0.274254395
Bolborhynchus lineola,67,1,1,,1,56.20,15.53,9.11,104.30,54.68,12.72,48.34,2,6,0.6,0.2,C,LC,MontoyaEtAl2018,0.071207542,0.142309872,0.018778019,-1.049037191,1.216509594,-0.654062402,0.25599456,-0.5468879,1.013852861,-0.357358698,0.236898398
Amazona mercenarius,68,1,,,1,329.90,35.87,14.70,214.00,98.08,17.31,16.84,4,12.3,0.4,0.2,C,LC,MontoyaEtAl2018,0.113292564,0.224145545,3.715772118,-0.110180002,0.43455433,-0.863441306,1.945746949,-2.013546696,0.463244864,0.943745843,0.216189497
Forpus conspicillatus,69,1,1,1,1,26.40,14.24,8.64,72.13,38.91,7.67,27.92,6,4.1,0.6,0.8,C,LC,Medidas ICN,0.035197335,0.120262257,-0.980986511,-0.457843647,-0.741068585,-0.480007859,0.226790589,-0.382895324,0.91675351,-0.169245305,0.050631132
Psittacara wagleri,70,1,1,1,1,194.00,32.88,17.99,185.00,152.00,17.06,26.68,6,7,0.8,0.8,C,NT,MontoyaEtAl2018,0.07909818,0.207764766,3.1470329,-0.171211321,-0.726769057,-0.982041594,-0.486147461,-1.449961107,1.067328805,-0.137005592,-0.084922445
Thamnophilus multistriatus,71,1,1,1,1,27.50,21.00,5.74,71.66,63.39,24.34,5.78,7,4.9,0.6,0.6,C,LC,Medidas ICN,0.035174427,0.117155971,-0.319761643,0.575567782,-1.229948656,0.333609052,0.516007106,0.020367733,-0.306561393,0.102515578,0.209257314
Thamnophilus unicolor,72,1,1,1,1,22.79,15.70,5.19,70.12,63.70,23.32,5.99,2,4.9,1,0.6,C,LC,BravoEtAl,0.02748463,0.110601759,-0.743941836,1.179412226,0.460890128,0.200192106,0.341897412,-0.306043178,-0.277776852,-0.020308154,0.060594955
Dysithamnus mentalis,73,1,1,1,1,18.90,16.49,4.23,60.10,36.49,19.62,19.75,4,4.8,1,0.6,C,LC,MontoyaEtAl2018,0.018529381,0.100926365,-1.14785405,0.139316891,0.047541286,0.03602008,0.580603361,0.083111901,-0.104942179,-0.007921751,0.168248894
Myrmotherula schisticolor,74,1,1,1,1,8.73,13.30,3.28,55.31,35.85,15.99,11.12,2,5.1,0.8,0.6,C,LC,BravoEtAl,0.016461206,0.119440513,-1.700458349,0.661042719,0.555023808,-0.033840697,0.674302273,-0.379911291,-0.504407902,0.121186831,-0.135006686
