species,phylum,group,common_name_division,solitary_colonial,body_size_lower_cm,adult_body_size_upper_cm,adult_body_size_bin,calcareous,herbivore,predator,omnivore,deposit_feeder,filter_suspension,scavenger,trophic_level,motility_adult,habitat_type,benthic,pelagic,epibiotic,intertidal,subtidal,notes,Source,synonym,dietary_pref
Gastropoda,Mollusca,Invertebrate,Gastropod,solitary,,,SC2,yes,yes,yes,yes,no,yes,yes,,motile,,yes,no,,yes,yes,,worms/sealifebase,"Colus stimpsoni, Skeneopsis planorbis, Astyris lunata",
Lacuna vincta,Mollusca,Invertebrate,Gastropod,solitary,1,2,SC1,yes,yes,no,no,no,no,no,primary consumer,motile,epifaunal,no,no,yes,yes,no,,BIOTIC/marlin,,herbivore
Littorina littorea,Mollusca,Invertebrate,Gastropod,gregarious,3,10,SC2,yes,yes,no,no,no,no,no,primary consumer,motile,epifaunal,no,no,yes,yes,no,,marlin database,,Herbivore
Littorina obtusata,Mollusca,Invertebrate,Gastropod,solitary,,1.5,SC1,yes,yes,no,no,no,no,no,primary consumer,motile,epifaunal,no,no,yes,yes,no,,,,Herbivore
Littorina saxatilis,Mollusca,Invertebrate,Gastropod,solitary,1,14,SC2,yes,yes,no,no,no,no,no,primary consumer,motile,epibenthic,yes,no,no,yes,no,,,,Herbivore
Nucella lapillus,Mollusca,Invertebrate,Gastropod,gregarious,3,10,SC2,yes,no,yes,no,no,no,no,secondary consumer,motile,epifaunal,no,no,yes,yes,no,,,,Predator
Nudibranchia,Mollusca,Invertebrate,Gastropod,solitary,,,SC1,no,no,yes,no,no,no,no,secondary consumer,motile,epibenthic,yes,no,,yes,yes,Only considering new england nudibranchs,worms/sealifebase,"Flabellina, Onchidoris, Dendronotus",
Testudinalia testudinalis,Mollusca,Invertebrate,Gastropod,solitary,3,10,SC2,yes,yes,no,no,no,no,no,primary consumer,sessile,benthic,yes,no,yes,no,yes,,,Tectura testudinalis,suspension feeder
Thylacodes,Mollusca,Invertebrate,Gastropod,solitary,,,SC2,yes,no,no,no,no,yes,no,primary consumer,sessile,"epibenthic, epizoic",yes,no,yes,no,yes,,,,filter feeder
Halichondria panicea,Porifera,Invertebrate,Sponge,colonial,1,25,SC3,no,no,no,no,no,yes,no,primary consumer,sessile,epiphytic/epilithic,yes,no,yes,no,yes,,BIOTIC/marlin/sealifebase,Halichondria,suspension feeder
Halisarca dujardinii,Porifera,Invertebrate,Sponge,colonial,0.2,20,SC2,no,no,no,no,no,yes,no,primary consumer,sessile,epibenthic,yes,no,yes,no,yes,,sealifebase,,suspension feeder
Hymedesmia,Porifera,Invertebrate,Sponge,colonial,0.2,20,SC2,no,no,no,no,no,yes,no,primary consumer,sessile,epibenthic,yes,no,yes,no,yes,,sealifebase,,suspension feeder
Leucosolenia,Porifera,Invertebrate,Sponge,colonial,0.2,20,SC2,yes,no,no,no,no,yes,no,primary consumer,sessile,epibenthic,yes,no,yes,no,yes,calcareous due to spicules,sealifebase,,suspension feeder
