"year","name"
1993,"Ulva intestinalis"
1994,"Ulva intestinalis"
1995,"Ulva intestinalis"
1996,"Ulva intestinalis"
2003,"Ulva intestinalis"
1982,"Ulva lactuca"
1983,"Ulva lactuca"
1984,"Ulva lactuca"
1985,"Ulva lactuca"
1986,"Ulva lactuca"
1987,"Ulva lactuca"
1988,"Ulva lactuca"
1989,"Ulva lactuca"
1990,"Ulva lactuca"
1991,"Ulva lactuca"
1992,"Ulva lactuca"
1993,"Ulva lactuca"
1994,"Ulva lactuca"
1995,"Ulva lactuca"
1996,"Ulva lactuca"
1997,"Ulva lactuca"
1998,"Ulva lactuca"
2000,"Ulva lactuca"
2005,"Ulva lactuca"
2006,"Ulva lactuca"
2009,"Ulva lactuca"
2011,"Ulva lactuca"
2012,"Ulva lactuca"
2013,"Ulva lactuca"
2016,"Ulva lactuca"
2010,"Unknown green crust"
1982,"Verrucaria"
1983,"Verrucaria"
1984,"Verrucaria"
1985,"Verrucaria"
1986,"Verrucaria"
1987,"Verrucaria"
1988,"Verrucaria"
1989,"Verrucaria"
1990,"Verrucaria"
1991,"Verrucaria"
1992,"Verrucaria"
1993,"Verrucaria"
1994,"Verrucaria"
1995,"Verrucaria"
1996,"Verrucaria"
1997,"Verrucaria"
1998,"Verrucaria"
1999,"Verrucaria"
2000,"Verrucaria"
2001,"Verrucaria"
2002,"Verrucaria"
2003,"Verrucaria"
2004,"Verrucaria"
2005,"Verrucaria"
2006,"Verrucaria"
2009,"Verrucaria"
2010,"Verrucaria"
2011,"Verrucaria"
2012,"Verrucaria"
2013,"Verrucaria"
2014,"Verrucaria"
2015,"Verrucaria"
2016,"Verrucaria"
2017,"Verrucaria"
1992,"Vertebrata lanosa"
2011,"Vertebrata lanosa"
2015,"Vertebrata lanosa"
2016,"Vertebrata lanosa"
2017,"Vertebrata lanosa"
