"year","name"
1998,"Diplosoma"
1997,"Dumontia concortum"
2004,"Dumontia concortum"
2014,"Dumontia concortum"
2015,"Dumontia concortum"
2016,"Dumontia concortum"
1996,"Dynamena pumila"
1998,"Dynamena pumila"
2009,"Dynamena pumila"
2010,"Dynamena pumila"
2013,"Dynamena pumila"
1982,"Ectocarpus"
1984,"Ectocarpus"
1986,"Ectocarpus"
1988,"Ectocarpus"
1990,"Ectocarpus"
1992,"Ectocarpus"
2010,"Ectocarpus"
1985,"Elachista fucicola"
1986,"Elachista fucicola"
1987,"Elachista fucicola"
1988,"Elachista fucicola"
1989,"Elachista fucicola"
1990,"Elachista fucicola"
1991,"Elachista fucicola"
1992,"Elachista fucicola"
1993,"Elachista fucicola"
1994,"Elachista fucicola"
1995,"Elachista fucicola"
1996,"Elachista fucicola"
1998,"Elachista fucicola"
2009,"Elachista fucicola"
2011,"Elachista fucicola"
2012,"Elachista fucicola"
2013,"Elachista fucicola"
2014,"Elachista fucicola"
2015,"Elachista fucicola"
2016,"Elachista fucicola"
2017,"Elachista fucicola"
1990,"Electra pilosa"
1998,"Electra pilosa"
2009,"Electra pilosa"
2010,"Electra pilosa"
2016,"Electra pilosa"
1984,"Erythrotrichia carnea"
1993,"Erythrotrichia carnea"
1982,"Euplana"
1994,"Euplana"
1991,"Euthora cristata"
2009,"Feather"
2017,"Flustrellidra hispida"
1983,"Foviella"
1984,"Foviella"
1982,"Fucus"
1983,"Fucus"
1984,"Fucus"
1985,"Fucus"
1986,"Fucus"
1987,"Fucus"
1988,"Fucus"
1989,"Fucus"
1990,"Fucus"
1991,"Fucus"
1992,"Fucus"
1993,"Fucus"
1994,"Fucus"
1995,"Fucus"
1996,"Fucus"
1997,"Fucus"
1998,"Fucus"
1999,"Fucus"
2000,"Fucus"
2001,"Fucus"
2002,"Fucus"
2003,"Fucus"
2004,"Fucus"
2005,"Fucus"
2006,"Fucus"
2009,"Fucus"
2010,"Fucus"
2011,"Fucus"
2012,"Fucus"
2013,"Fucus"
2014,"Fucus"
2015,"Fucus"
2016,"Fucus"
2017,"Fucus"
1982,"Fucus distichus"
1983,"Fucus distichus"
1984,"Fucus distichus"
1985,"Fucus distichus"
1986,"Fucus distichus"
1987,"Fucus distichus"
1988,"Fucus distichus"
1989,"Fucus distichus"
1990,"Fucus distichus"
1991,"Fucus distichus"
1992,"Fucus distichus"
1993,"Fucus distichus"
1994,"Fucus distichus"
1995,"Fucus distichus"
1996,"Fucus distichus"
1997,"Fucus distichus"
1998,"Fucus distichus"
1999,"Fucus distichus"
2000,"Fucus distichus"
2001,"Fucus distichus"
2002,"Fucus distichus"
2003,"Fucus distichus"
2004,"Fucus distichus"
2005,"Fucus distichus"
2006,"Fucus distichus"
2008,"Fucus distichus"
2009,"Fucus distichus"
2010,"Fucus distichus"
2011,"Fucus distichus"
2012,"Fucus distichus"
2013,"Fucus distichus"
2014,"Fucus distichus"
2015,"Fucus distichus"
2016,"Fucus distichus"
2017,"Fucus distichus"
1982,"Fucus spiralis"
1983,"Fucus spiralis"
1984,"Fucus spiralis"
1985,"Fucus spiralis"
1986,"Fucus spiralis"
1987,"Fucus spiralis"
1988,"Fucus spiralis"
1989,"Fucus spiralis"
1990,"Fucus spiralis"
1991,"Fucus spiralis"
1992,"Fucus spiralis"
1993,"Fucus spiralis"
1994,"Fucus spiralis"
1995,"Fucus spiralis"
1996,"Fucus spiralis"
1997,"Fucus spiralis"
1998,"Fucus spiralis"
1999,"Fucus spiralis"
2000,"Fucus spiralis"
2001,"Fucus spiralis"
2002,"Fucus spiralis"
2003,"Fucus spiralis"
2004,"Fucus spiralis"
2005,"Fucus spiralis"
2006,"Fucus spiralis"
2009,"Fucus spiralis"
2010,"Fucus spiralis"
2011,"Fucus spiralis"
2012,"Fucus spiralis"
2013,"Fucus spiralis"
2014,"Fucus spiralis"
2015,"Fucus spiralis"
2016,"Fucus spiralis"
2017,"Fucus spiralis"
1982,"Fucus vesiculosus"
1983,"Fucus vesiculosus"
1984,"Fucus vesiculosus"
1985,"Fucus vesiculosus"
1986,"Fucus vesiculosus"
1987,"Fucus vesiculosus"
1988,"Fucus vesiculosus"
1989,"Fucus vesiculosus"
1990,"Fucus vesiculosus"
1991,"Fucus vesiculosus"
1992,"Fucus vesiculosus"
1993,"Fucus vesiculosus"
1994,"Fucus vesiculosus"
1995,"Fucus vesiculosus"
1996,"Fucus vesiculosus"
1997,"Fucus vesiculosus"
1998,"Fucus vesiculosus"
1999,"Fucus vesiculosus"
2000,"Fucus vesiculosus"
2001,"Fucus vesiculosus"
2002,"Fucus vesiculosus"
2003,"Fucus vesiculosus"
2004,"Fucus vesiculosus"
2005,"Fucus vesiculosus"
2006,"Fucus vesiculosus"
2009,"Fucus vesiculosus"
2010,"Fucus vesiculosus"
2011,"Fucus vesiculosus"
2012,"Fucus vesiculosus"
2013,"Fucus vesiculosus"
2014,"Fucus vesiculosus"
2015,"Fucus vesiculosus"
2016,"Fucus vesiculosus"
2017,"Fucus vesiculosus"
1984,"Gammarid"
1985,"Gammarid"
1983,"Giffordia granulosa"
1984,"Giffordia granulosa"
1985,"Halacarus"
1986,"Halacarus"
1987,"Halacarus"
1988,"Halacarus"
1989,"Halacarus"
1992,"Halacarus"
1993,"Halacarus"
1994,"Halacarus"
1995,"Halacarus"
1997,"Halacarus"
1998,"Halacarus"
1999,"Halacarus"
2002,"Halacarus"
2003,"Halacarus"
2004,"Halacarus"
2005,"Halacarus"
2006,"Halacarus"
2010,"Halacarus"
2011,"Halacarus"
2012,"Halacarus"
2013,"Halacarus"
1982,"Halichondria"
1984,"Halichondria"
1985,"Halichondria"
1986,"Halichondria"
1987,"Halichondria"
1988,"Halichondria"
1989,"Halichondria"
1990,"Halichondria"
1991,"Halichondria"
1992,"Halichondria"
1993,"Halichondria"
1994,"Halichondria"
1995,"Halichondria"
1997,"Halichondria"
1998,"Halichondria"
2002,"Halichondria"
2009,"Halichondria"
2010,"Halichondria"
2011,"Halichondria"
2006,"Hemigrapsus sanguineus"
2009,"Hemigrapsus sanguineus"
2010,"Hemigrapsus sanguineus"
2011,"Hemigrapsus sanguineus"
2014,"Hemigrapsus sanguineus"
2016,"Hemigrapsus sanguineus"
2017,"Hemigrapsus sanguineus"
1990,"Henricia sanguinolenta"
1992,"Henricia sanguinolenta"
1994,"Henricia sanguinolenta"
2004,"Henricia sanguinolenta"
1982,"Hiatella arctica"
1983,"Hiatella arctica"
1984,"Hiatella arctica"
1985,"Hiatella arctica"
1986,"Hiatella arctica"
1987,"Hiatella arctica"
1988,"Hiatella arctica"
1989,"Hiatella arctica"
1990,"Hiatella arctica"
1991,"Hiatella arctica"
1992,"Hiatella arctica"
1993,"Hiatella arctica"
1994,"Hiatella arctica"
1995,"Hiatella arctica"
1998,"Hiatella arctica"
1999,"Hiatella arctica"
2000,"Hiatella arctica"
2001,"Hiatella arctica"
2006,"Hiatella arctica"
2009,"Hiatella arctica"
2010,"Hiatella arctica"
2012,"Hiatella arctica"
2014,"Hiatella arctica"
2015,"Hiatella arctica"
2016,"Hiatella arctica"
1992,"Hiatella arctica"
1994,"Hiatella arctica"
1995,"Hiatella arctica"
1998,"Hiatella arctica"
1999,"Hiatella arctica"
2009,"Hiatella arctica"
2016,"Hiatella arctica"
1982,"Hildenbrandia rubra"
1983,"Hildenbrandia rubra"
1984,"Hildenbrandia rubra"
1985,"Hildenbrandia rubra"
1986,"Hildenbrandia rubra"
1987,"Hildenbrandia rubra"
1988,"Hildenbrandia rubra"
1989,"Hildenbrandia rubra"
1990,"Hildenbrandia rubra"
1991,"Hildenbrandia rubra"
1992,"Hildenbrandia rubra"
1993,"Hildenbrandia rubra"
1994,"Hildenbrandia rubra"
1995,"Hildenbrandia rubra"
1996,"Hildenbrandia rubra"
1997,"Hildenbrandia rubra"
1998,"Hildenbrandia rubra"
1999,"Hildenbrandia rubra"
