"","Cryptosula pallasiana","Semibalanus balanoides","Mytilus edulis","Modiolus modiolus","Halichondria panicea","Metridium dianthus","Anomia simplex","Testudinalia testudinalis","Amphipoda","Annelida","Asterias forbesi","Asterias rubens","Cancer borealis","Cancer irroratus","Carcinus maenus","Small worm","Hiatella arctica","Isopoda","Lacuna vincta","Littorina littorea","Littorina obtusata","Littorina saxatilis","Nucella lapillus","Nudibranchia","Ophiopholis aculeata","Pagurus acadianus","Spirorbis","Strongylocentrotus droebachiensis","Boreochiton ruber","Gaidropsarus","Gastropoda","Sedentary Polychaete","Celleporella hyalina","Aplidium pallidum","Mya arenaria","Dendrodoa carnea","Crepidula fornicata"
"Asterias forbesi",0.786031353598921,0.916839916839917,0.84671573860763,0.84671573860763,0.905939203236501,0.722368938585155,0.893914704725516,0.812384109681407,0.772939259425746,0.775748721694668,0,0.506714614822723,0.59762881384503,0.59762881384503,0.727987863122998,0.760015732988706,0.833230319716806,0.774343990560207,0.86469629712873,0.819744900825982,0.86469629712873,0.713659605551497,0.660279822441985,0.683710737764792,0.684665954936225,0.644827779962915,0.916839916839917,0.733887733887734,0.820924874978929,0.662471203011743,0.794572118896443,0.879586447154015,0.786031353598921,0.77782772377367,0.7186042591448,0.905939203236501,0.790133168511547
"Asterias rubens",0.84671573860763,0.916839916839917,0.84671573860763,0.84671573860763,0.905939203236501,0.783053323593864,0.893914704725516,0.873068494690116,0.772939259425746,0.775748721694668,0.506714614822723,0,0.658313198853739,0.658313198853739,0.788672248131708,0.683317413047143,0.893914704725516,0.774343990560207,0.86469629712873,0.880429285834691,0.86469629712873,0.774343990560207,0.720964207450694,0.683710737764792,0.684665954936225,0.705512164971625,0.916839916839917,0.794572118896443,0.820924874978929,0.662471203011743,0.794572118896443,0.879586447154015,0.84671573860763,0.838512108782379,0.779288644153509,0.905939203236501,0.850817553520256
"Cancer borealis",0.786031353598921,0.916839916839917,0.84671573860763,0.84671573860763,0.905939203236501,0.797269202674608,0.893914704725516,0.812384109681407,0.698038995336293,0.775748721694668,0.59762881384503,0.658313198853739,0,0.446311176040906,0.576670225318874,0.760015732988706,0.833230319716806,0.699443726470754,0.86469629712873,0.819744900825982,0.86469629712873,0.713659605551497,0.735180086531438,0.758611001854245,0.684665954936225,0.569927515873462,0.916839916839917,0.733887733887734,0.820924874978929,0.737371467101197,0.794572118896443,0.879586447154015,0.786031353598921,0.77782772377367,0.7186042591448,0.905939203236501,0.790133168511547
"Cancer irroratus",0.786031353598921,0.916839916839917,0.84671573860763,0.84671573860763,0.905939203236501,0.797269202674608,0.893914704725516,0.812384109681407,0.698038995336293,0.775748721694668,0.59762881384503,0.658313198853739,0.446311176040906,0,0.576670225318874,0.760015732988706,0.833230319716806,0.699443726470754,0.86469629712873,0.819744900825982,0.86469629712873,0.713659605551497,0.735180086531438,0.758611001854245,0.684665954936225,0.569927515873462,0.916839916839917,0.733887733887734,0.820924874978929,0.737371467101197,0.794572118896443,0.879586447154015,0.786031353598921,0.77782772377367,0.7186042591448,0.905939203236501,0.790133168511547
"Carcinus maenus",0.804405236837669,0.822104849131876,0.865089621846379,0.865089621846379,0.924313086475249,0.702534134966567,0.799179637017475,0.830757992920155,0.603303927628252,0.814350733269652,0.727987863122998,0.788672248131708,0.576670225318874,0.576670225318874,0,0.890374782266674,0.738495252008766,0.716693824801933,0.769961229420689,0.633252795414958,0.769961229420689,0.730909703882677,0.640445018823397,0.776984885092993,0.815025004214193,0.587177614204641,0.822104849131876,0.752261617126482,0.839298758217677,0.775973478676181,0.812946002135191,0.897960330392763,0.804405236837669,0.908186773051638,0.848963308422768,0.924313086475249,0.808507051750295
"Small worm",0.879586447154015,0.949710625386301,0.879586447154015,0.879586447154015,0.833567455189077,0.854413665224476,0.9267854132719,0.905939203236501,0.874641793560712,0.703376973647244,0.760015732988706,0.683317413047143,0.760015732988706,0.760015732988706,0.890374782266674,0,0.9267854132719,0.733887733887734,0.897567005675114,0.839973029162218,0.824240040456257,0.733887733887734,0.897567005675114,0.755071079395404,0.786368489071192,0.807214699106591,0.949710625386301,0.75411586222397,0.780468618306456,0.733831544642355,0.75411586222397,0.807214699106591,0.879586447154015,0.766140360734955,0.812159352699893,0.833567455189077,0.88368826206664
"Hiatella arctica",0.622857785019947,0.640557397314154,0.60802382424004,0.60802382424004,0.742765634657527,0.69309434174299,0.542113839411137,0.649210541102433,0.724728886891049,0.839242568972299,0.833230319716806,0.893914704725516,0.833230319716806,0.833230319716806,0.738495252008766,0.9267854132719,0,0.783446648311513,0.703096027420352,0.716862392538068,0.761813788840816,0.722762263302804,0.745687475417205,0.882227341686801,0.920267460808001,0.767320334887902,0.640557397314154,0.744114176546609,0.831151317637804,0.972972972972973,0.804798561555318,0.716412878575041,0.622857785019947,0.726639321233916,0.59189751081643,0.742765634657527,0.626959599932573
"Isopoda",0.849356633140417,0.737540034837332,0.849356633140417,0.849356633140417,0.908580097769287,0.860875428442996,0.714614822722931,0.875709389222903,0.632129010507389,0.709557790638872,0.774343990560207,0.774343990560207,0.699443726470754,0.699443726470754,0.716693824801933,0.733887733887734,0.783446648311513,0,0.685396415126145,0.696634264201832,0.612069449907288,0.590548968927347,0.798786312299826,0.80580996797213,0.800696746642693,0.63353374164185,0.806371860425914,0.723886048210373,0.681406978704276,0.853402258807664,0.65505422262179,0.813395516098219,0.849356633140417,0.841153003315166,0.781929538686295,0.839748272180705,0.853458448053043
"Lacuna vincta",0.769006012249255,0.559363937742316,0.769006012249255,0.769006012249255,0.828229476878126,0.839242568972299,0.634264201831769,0.722987020284318,0.626678653705681,0.74119233578693,0.86469629712873,0.86469629712873,0.86469629712873,0.86469629712873,0.769961229420689,0.897567005675114,0.703096027420352,0.685396415126145,0,0.578131145698713,0.493566331404169,0.681856492667304,0.60695622857785,0.711805360454009,0.891049053211215,0.798786312299826,0.628195763330899,0.775580153958532,0.733101084452436,0.943754565376187,0.634376580322526,0.733044895207057,0.769006012249255,0.872787548463224,0.813564083834354,0.759397651289543,0.700736079114457
"Littorina littorea",0.782772377366972,0.702646513457324,0.843456762375681,0.843456762375681,0.902680227004551,0.794291172669551,0.777546777546778,0.736753385402034,0.769961229420689,0.792717873798955,0.819744900825982,0.880429285834691,0.819744900825982,0.819744900825982,0.633252795414958,0.839973029162218,0.716862392538068,0.696634264201832,0.578131145698713,0,0.504804180479856,0.563578131145699,0.562004832275103,0.796370174748553,0.906782041917177,0.753834915997078,0.702646513457324,0.657301792436928,0.744338933528123,0.867730516379165,0.645614429398213,0.876327470922066,0.782772377366972,0.886553913580941,0.827330448952071,0.902680227004551,0.714502444232174
