"","Semibalanus balanoides","Mytilus edulis","Metridium dianthus","Dynamena pumila","Modiolus modiolus","Cryptosula pallasiana","Schizoporella unicornis","Diadumene lineata","Anomia simplex","Halichondria panicea","Botrylloides violaceus","Hiatella arctica","Membranipora membranacea","Electra pilosa","Botryllus schlosseri","Testudinalia testudinalis","Amphipoda","Annelida","Asterias forbesi","Asterias rubens","Cancer borealis","Cancer irroratus","Carcinus maenus","Crepidula fornicata","Small worm","Hemigrapsus sanguineus","Henricia sanguinolenta","Isopoda","Lacuna vincta","Littorina littorea","Littorina obtusata","Littorina saxatilis","Nucella lapillus","Nudibranchia","Ophiopholis aculeata","Pagurus acadianus","Spirorbis","Strongylocentrotus droebachiensis","Boreochiton ruber"
"Botrylloides violaceus",0.793506296464876,0.646386486623173,0.799979770393972,0.77165832195418,0.646386486623173,0.721488899003692,0.721488899003692,0.749810347443484,0.77165832195418,0.497041420118343,0,0.77165832195418,0.647043948819097,0.721488899003692,0.421534415617256,0.645830172457391,0.877509735497901,0.673949324836899,0.924088403378344,0.924088403378344,0.924088403378344,0.924088403378344,0.85975825620796,0.725383098164163,0.850402063419815,0.899812876144237,0.822080614980023,0.928943508825166,0.854043392504931,0.83629191321499,0.910736863399585,0.928943508825166,0.956051180903252,0.810347443483538,0.773327264451525,0.974257826328832,0.793506296464876,0.838719465938401,0.7630607393921
"Hiatella arctica",0.657613917968948,0.623628179841198,0.707429322813938,0.635765943458251,0.623628179841198,0.641076215040712,0.641076215040712,0.83007130936125,0.559652050776311,0.746523036463865,0.77165832195418,0,0.666211500531027,0.641076215040712,0.753198806453244,0.659535730541648,0.741617357001972,0.853790522429576,0.843675719415364,0.90234157689779,0.843675719415364,0.843675719415364,0.764780255904516,0.644970414201183,0.930663025337581,0.804834875840793,0.741667931017043,0.793051130329237,0.718151014009002,0.741313912911546,0.774844484903657,0.734385272846811,0.761492944924898,0.890608405401305,0.920801092398726,0.779699590350478,0.657613917968948,0.758306781975421,0.835432154958782
"Membranipora membranacea",0.746725332524149,0.674707935062965,0.79654073736914,0.724877358013453,0.674707935062965,0.539928184898599,0.539928184898599,0.805037171901077,0.724877358013453,0.721488899003692,0.647043948819097,0.666211500531027,0,0.539928184898599,0.628584433318161,0.634501593081475,0.830728771557174,0.729176149294492,0.818641581955191,0.877307439437617,0.818641581955191,0.818641581955191,0.754311434784808,0.61993627674101,0.905628887877409,0.794366054721084,0.716633793556871,0.882162544884438,0.807262428564204,0.730845091791837,0.863955899458858,0.823496687402013,0.850604359480099,0.865574267941132,0.895766954938553,0.868811004905679,0.746725332524149,0.733272644515248,0.810398017498609
"Electra pilosa",0.721590047033834,0.649572649572649,0.771405451878825,0.699742072523138,0.649572649572649,0.514792899408284,0.514792899408284,0.779901886410762,0.699742072523138,0.696353613513377,0.721488899003692,0.641076215040712,0.539928184898599,0,0.703029383502756,0.60936630759116,0.805593486066859,0.803621099479088,0.793506296464876,0.852172153947302,0.793506296464876,0.793506296464876,0.828756384969403,0.594800991250695,0.880493602387094,0.868811004905679,0.691498508066555,0.857027259394123,0.782127143073889,0.805290041976433,0.838820613968543,0.798361401911698,0.825469073989784,0.840438982450817,0.870631669448237,0.843675719415364,0.721590047033834,0.708137359024933,0.785262732008294
"Botryllus schlosseri",0.775046780963941,0.627926971122237,0.781520254893036,0.753198806453244,0.627926971122237,0.703029383502756,0.703029383502756,0.731350831942548,0.753198806453244,0.572700146664644,0.421534415617256,0.753198806453244,0.628584433318161,0.703029383502756,0,0.721488899003692,0.859050219996966,0.655489809335963,0.905628887877409,0.905628887877409,0.905628887877409,0.905628887877409,0.841298740707025,0.706923582663228,0.831942547918879,0.881353360643301,0.803621099479088,0.91048399332423,0.835583877003995,0.817832397714054,0.89227734789865,0.91048399332423,0.937591665402316,0.791887927982603,0.848985990997825,0.955798310827897,0.775046780963941,0.820259950437465,0.838719465938401
"Testudinalia testudinalis",0.74004956253477,0.668032165073585,0.78986496737976,0.718201588024073,0.668032165073585,0.60936630759116,0.60936630759116,0.798361401911698,0.718201588024073,0.620694886967076,0.645830172457391,0.659535730541648,0.634501593081475,0.60936630759116,0.721488899003692,0,0.824053001567794,0.822080614980023,0.811965811965812,0.870631669448237,0.811965811965812,0.811965811965812,0.847215900470338,0.539574166793102,0.898953117888029,0.887270520406615,0.709958023567491,0.875486774895059,0.726900318616295,0.750063217518839,0.783593789510949,0.743134577454104,0.77024224953219,0.785212157993223,0.794972942901937,0.8621352349163,0.74004956253477,0.726596874525869,0.709604005461994
"Amphipoda",0.69266171041319,0.805593486066859,0.75825620796035,0.670813735902493,0.805593486066859,0.805593486066859,0.805593486066859,0.751428715925757,0.670813735902493,0.852374450007586,0.877509735497901,0.741617357001972,0.830728771557174,0.805593486066859,0.859050219996966,0.824053001567794,0,0.773681282557022,0.77934557224498,0.77934557224498,0.704900622060385,0.704900622060385,0.626005158549537,0.80948768522733,0.87604308906084,0.666059778485814,0.791028169726395,0.638496940272088,0.638041774136449,0.790674151620897,0.694735245031103,0.783745511556162,0.697162797754514,0.696808779649016,0.797805087745916,0.640924492995499,0.763465331512669,0.807667020684772,0.755322915086229
"Annelida",0.804834875840793,0.803621099479088,0.882111970869367,0.782986901330097,0.803621099479088,0.803621099479088,0.803621099479088,0.7611389268194,0.782986901330097,0.748394275021494,0.673949324836899,0.853790522429576,0.729176149294492,0.803621099479088,0.655489809335963,0.822080614980023,0.773681282557022,0,0.781368532847823,0.781368532847823,0.781368532847823,0.781368532847823,0.82673342436656,0.807515298639559,0.707682192889293,0.757093005613716,0.679360744449502,0.715420017195165,0.750214939564052,0.80326708137359,0.806908410458706,0.786223638294644,0.923026349061852,0.706518990542659,0.799828048348758,0.831537955798311,0.798917716077479,0.805694634097001,0.753350528498458
"Asterias forbesi",0.924189551408486,0.852172153947302,0.728518687098569,0.90234157689779,0.852172153947302,0.793506296464876,0.793506296464876,0.737015121630506,0.90234157689779,0.898953117888029,0.924088403378344,0.843675719415364,0.818641581955191,0.793506296464876,0.905628887877409,0.811965811965812,0.77934557224498,0.781368532847823,0,0.507965407373691,0.600869873059222,0.600869873059222,0.74581500025287,0.797400495625348,0.756233247357508,0.676174581500025,0.592778030647853,0.778081221868204,0.869569615131745,0.836039043139635,0.869569615131745,0.719415364385779,0.667425276892732,0.682395185353765,0.677995246042583,0.65103929600971,0.924189551408486,0.738886360188135,0.816011733171496
"Asterias rubens",0.924189551408486,0.852172153947302,0.787184544580994,0.90234157689779,0.852172153947302,0.852172153947302,0.852172153947302,0.737015121630506,0.90234157689779,0.898953117888029,0.924088403378344,0.90234157689779,0.877307439437617,0.852172153947302,0.905628887877409,0.870631669448237,0.77934557224498,0.781368532847823,0.507965407373691,0,0.659535730541648,0.659535730541648,0.804480857735296,0.856066353107773,0.679512466494715,0.734840438982451,0.651443888130279,0.778081221868204,0.869569615131745,0.89470490062206,0.869569615131745,0.778081221868204,0.726091134375158,0.682395185353765,0.677995246042583,0.709705153492136,0.924189551408486,0.797552217670561,0.816011733171496
