who,species,synonym,phylum,group,common_name_division,common_name_division_bgr,turf_subcanopy_canopy_algae,steneck_dethier_morphology_algae,body_size_lower_cm,adult_body_size_upper_cm,body_size_avg_marlin,body_size_avg_bin,morphology1,morphology2,dietary_pref,dietary_pref_c,trophic_level,motility_juv,motility_adult,habitat_type,benthic,pelagic,epibiotic,invasive,human_use,thermal_lower_c,thermal_upper_c,thermal_details,area,intertidal,subtidal,notes,Source,Wikipedia
,Ceramium virgatum,,Rhodophyta,Algae,Red Erect Algae,Red Algae,,,NA,30,NA,medium-large,,,phototrophic,phototrophic,primary producer,sessile,sessile,"epizoic, epiphytic, epilithic",yes,no,yes,,,,,,shared,yes,yes,"worms lists as turf, subcanopy, and canopy",https://www.marinespecies.org/aphia.php?p=taxdetails&id=178915#attributes,
,Plumaria plumosa,,Rhodophyta,Algae,Red Erect Algae,Red Algae,,,NA,13,NA,medium,,,phototrophic,phototrophic,primary producer,sessile,sessile,"epiphytic, epilithic",yes,no,yes,,,,,,shared,yes,yes,,,
,Vertebrata lanosa,,Rhodophyta,Algae,Red Erect Algae,Red Algae,Turf,corticated filamentous,NA,7.5,NA,,Turf,corticated filamentous,phototrophic,phototrophic,primary producer,sessile,sessile,"epilithic, epiphytic",yes,no,yes,,,,,,intertidal,yes,no,,,
"Jen, Laura",Corallina officinalis,,Rhodophyta,Algae,Red Coralline Algae,Red Algae,Turf,articulated coralline,NA,12,NA,medium,Turf,articulated coralline,phototrophic,phototrophic,primary producer,sessile,sessile,"epilithic, epiphytic, epizoic, epifloral",yes,no,yes,no,"pharmaceutical, medical, vermifuge",-9.5,27.4,LT0,intertidal,yes,no,"calcified, provides substratum for various epiphytes, and supports a diverse, species rich invertebrate community due to its provision of interstices and build up of sediment within its fronds. Algaebase, WoRMS",http://www.marinespecies.org/aphia.php?p=taxdetails&id=145108#attributes,
"Jen, Laura",Leptophytum acervatum,,Rhodophyta,Algae,Red Coralline Algae,Red Algae,Turf,crustose algae,NA,,NA,medium,Turf,crustose algae,phototrophic,phototrophic,primary producer,sessile,sessile,"epilithic, epiphytic",yes,no,yes,no?,no,,,,subtidal,no,yes,It is a south African algae ? is it correct that is in our data set,"Algaebase, WoRMS",
"Jen, Laura",Lithophyllum ,,Rhodophyta,Algae,Red Coralline Algae,Red Algae,Turf,crustose algae,NA,15,NA,medium,Turf,crustose algae,phototrophic,phototrophic,primary producer,sessile,sessile,epilithic,yes,no,no,no,,,,,subtidal,no,yes,,http://www.marinespecies.org/aphia.php?p=taxdetails&id=144016#attributes,
"Jen, Laura",Lithothamnion,"Mesophyllum crassiusculum (Foslie) Lebednik, 2004",Rhodophyta,Algae,Red Coralline Algae,Red Algae,Turf,crustose algae,NA,15,NA,medium,Turf,crustose algae,phototrophic,phototrophic,primary producer,sessile,sessile,epilithic,yes,no,no,NA,,,,,subtidal,no,yes,"Algaebase, WoRMS",http://www.marinespecies.org/aphia.php?p=taxdetails&id=375853#attributes,
"Jen, Laura",Phymatolithon lenormandii,,Rhodophyta,Algae,Red Coralline Algae,Red Algae,Turf,crustose algae,NA,20,NA,medium,Turf,crustose algae,phototrophic,phototrophic,primary producer,sessile,sessile,"epilithic, epiphytic",yes,no,yes,no,no,,,,intertidal,yes,no,,http://www.marinespecies.org/aphia.php?p=taxdetails&id=145202#attributes,
Laura,Titanoderma,,Rhodophyta,Algae,Red Coralline Algae,Red Algae,Turf,crustose algae,NA,2,NA,small,Turf,crustose algae,phototrophic,phototrophic,primary producer,sessile,sessile,,,no,no,NA,,,,,subtidal,no,yes,,http://www.marinespecies.org/aphia.php?p=taxdetails&id=144027#attributes,
"Jen, Laura",Clathromorphum circumscriptum,,Rhodophyta,Algae,Red Crust Algae,Red Algae,Turf,crustose algae,NA,,NA,unknown,Turf,crustose algae,phototrophic,phototrophic,primary producer,sessile,sessile,epilithic,yes,no,no,no,no,,,,shared,yes,yes,,,
Laura,Hildenbrandia rubra,,Rhodophyta,Algae,Red Crust Algae,Red Algae,Turf,crustose algae,NA,20,NA,medium,Turf,crustose algae,phototrophic,phototrophic,primary producer,sessile,sessile,epilithic,yes,no,no,no,,,,,shared,yes,yes,,http://www.marinespecies.org/aphia.php?p=taxdetails&id=145712,
"Jen, Laura",Dumontia contorta,,Rhodophyta,Algae,Red Erect Algae,Red Algae,Subcanopy,corticated macrophyte,NA,230,NA,medium,Subcanopy,corticated macrophytes,phototrophic,phototrophic,primary producer,sessile,sessile,epiphytic ,no,no,yes,no,no,,,,subtidal,no,yes,,http://www.marinespecies.org/aphia.php?p=taxdetails&id=145228#attributes,
Laura,Bonnemaisonia hamifera,,Rhodophyta,Algae,Red Erect Algae,Red Algae,Turf,filamentous,NA,40,NA,medium-large,Turf,filamentous,phototrophic,phototrophic,primary producer,sessile,sessile,"epilithic, epiphytic",yes,no,yes,yes,no,-2,23,LT0,shared,yes,yes,,http://www.marinespecies.org/aphia.php?p=taxdetails&id=144442#attributes,https://en.wikipedia.org/wiki/Bonnemaisonia_hamifera
"Jen, Laura",Ceramium,"Palmaria Stackhouse, 1802",Rhodophyta,Algae,Red Erect Algae,Red Algae,Canopy,filamentous,NA,50,NA,medium-large,Canopy,filamentous,phototrophic,phototrophic,primary producer,sessile,sessile,"epilithic, epiphytic",yes,no,yes,no,,,,,subtidal,no,yes,"Algaebase, WoRMS",http://www.marinespecies.org/aphia.php?p=taxdetails&id=144217#attributes,
Laura,Chondrus crispus,,Rhodophyta,Algae,Red Erect Algae,Red Algae,Subcanopy,corticated macrophyte,NA,15,NA,medium,Subcanopy,corticated macrophyte,phototrophic,phototrophic,primary producer,sessile,sessile,epilithic,yes,no,no,no,,,27.3,LT0,shared,yes,yes,BIOTIC/marlin,http://www.marinespecies.org/aphia.php?p=taxdetails&id=145625#attributes,
"Jen, Laura",Coccotylus truncatus,,Rhodophyta,Algae,Red Erect Algae,Red Algae,Turf,corticated foliose,NA,15,NA,medium,Turf,corticated foliose,phototrophic,phototrophic,primary producer,sessile,sessile,epilithic,yes,,no,no,,,,,subtidal,no,yes,,http://www.marinespecies.org/aphia.php?p=taxdetails&id=145654#attributes,
Laura,Cystoclonium purpureum,,Rhodophyta,Algae,Red Erect Algae,Red Algae,Subcanopy,corticated macrophyte,NA,60,NA,large,Subcanopy,corticated macrophyte,phototrophic,phototrophic,primary producer,sessile,sessile,epilithic,yes,no,no,no,,,,,shared,yes,yes,,http://www.marinespecies.org/aphia.php?p=taxdetails&id=145615#attributes,
"Jen, Laura",Dasysiphonia japonica,,Rhodophyta,Algae,Red Erect Algae,Red Algae,Turf,filamentous,NA,60,NA,large,Turf,filamentous,phototrophic,phototrophic,primary producer,sessile,sessile,epilithic,yes,no,no,yes,no,,,,subtidal,no,yes,"Algaebase, WoRMS",,
Laura,Euthora cristata,,Rhodophyta,Algae,Red Erect Algae,Red Algae,Subcanopy,corticated macrophyte,NA,,NA,small-medium,Subcanopy,corticated macrophyte,phototrophic,phototrophic,primary producer,sessile,sessile,"epilithic, epiphytic",yes,,yes,no,,,,,shared,yes,yes,,,
"Jen, Laura",Mastocarpus stellatus,,Rhodophyta,Algae,Red Erect Algae,Red Algae,Subcanopy,corticated macrophyte,NA,20,NA,medium,Subcanopy,corticated macrophyte,phototrophic,phototrophic,primary producer,sessile,sessile,epilithic,yes,no,no,no,"food, pharmaceutical",,,,shared,yes,yes,,http://www.marinespecies.org/aphia.php?p=taxdetails&id=145650#attributes,
"Jen, Laura",Palmaria palmata,,Rhodophyta,Algae,Red Erect Algae,Red Algae,Subcanopy,corticated foliose,NA,50,NA,medium-large,Subcanopy,corticated foliose,phototrophic,phototrophic,primary producer,sessile,sessile,"epiphytic, epilithic",yes,no,yes,no,food,-2,27,LT0,shared,yes,yes,https://www.algaebase.org/search/species/detail/?species_id=1&sk=0&from=results; https://www.marlin.ac.uk/species/detail/1405,http://www.marinespecies.org/aphia.php?p=taxdetails&id=145771#attributes,
"Jen, Laura",Phycodrys rubens,,Rhodophyta,Algae,Red Erect Algae,Red Algae,Subcanopy,foliose algae,NA,20,NA,medium,Subcanopy,foliose algae,phototrophic,phototrophic,primary producer,sessile,sessile,epilithic,yes,no,no,no,no,-2,18,LT0,subtidal,no,yes,"Algaebase, WoRMS",http://www.marinespecies.org/aphia.php?p=taxdetails&id=144773#attributes,
"Jen, Laura",Polyides rotunda,,Rhodophyta,Algae,Red Erect Algae,Red Algae,Turf,corticated macrophyte,NA,20,NA,medium,Turf,corticated macrophyte,phototrophic,phototrophic,primary producer,sessile,sessile,epilithic,yes,no,no,no,no,,,,subtidal,no,yes,"Algaebase, WoRMS",http://www.marinespecies.org/aphia.php?p=taxdetails&id=145668#attributes,
Laura,Polysiphonia,,Rhodophyta,Algae,Red Erect Algae,Red Algae,Turf,filamentous,NA,30,NA,medium-large,Turf,filamentous,phototrophic,phototrophic,primary producer,sessile,sessile,"epilithic, epiphytic",yes,,yes,no,,,,,shared,yes,yes,,http://www.marinespecies.org/aphia.php?p=taxdetails&id=143853#attributes,
Laura,Porphyra,,Rhodophyta,Algae,Red Erect Algae,Red Algae,Turf,foliose algae,NA,100,NA,large,Turf,foliose algae,phototrophic,phototrophic,primary producer,sessile,sessile,epilithic,yes,no,no,no,,,,,shared,yes,yes,,http://www.marinespecies.org/aphia.php?p=taxdetails&id=143808,
Laura,Ptilota serrata,,Rhodophyta,Algae,Red Erect Algae,Red Algae,Subcanopy,corticated macrophyte,NA,30,NA,medium-large,Subcanopy,corticated macrophyte,phototrophic,phototrophic,primary producer,sessile,sessile,eplithic,yes,no,no,no,,,,,shared,yes,yes,,http://www.marinespecies.org/aphia.php?p=taxdetails&id=144687#attributes,
"Jen, Laura",Spermothamnion repens,,Rhodophyta,Algae,Red Erect Algae,Red Algae,Turf,filamentous,NA,5,NA,small-medium,Turf,filamentous,phototrophic,phototrophic,primary producer,sessile,sessile,"epiphytic, epilithic, epizoic",yes,no,yes,no,no,,,,subtidal,no,yes,"Algaebase, WoRMS",http://www.marinespecies.org/aphia.php?p=taxdetails&id=144702#attributes,
Laura,Cyanobacteria,,Bacteria,Bacteria,Cyanobacteria,Cyanobacteria,NA,NA,NA,,very small,very small,unicellular,unicellular,phototrophic,phototrophic,primary producer,sessile,sessile,epilithic,yes,no,no,NA,,,,,intertidal,yes,no,,,
Laura,Arthopyrenia,,Fungi,Fungus,Fungus,Fungus,NA,NA,NA,,very small,small,mycelium,mycelium,heterotrophic,heterotrophic,decomposer,sessile,sessile,epilithic,yes,no,no,no,,,,,intertidal,yes,no,,,
Laura,Verrucaria,,Fungi,Fungus,Fungus,Fungus,NA,NA,NA,,very small,small,mycelium,mycelium,heterotrophic,heterotrophic,decomposer,sessile,sessile,epilithic,yes,no,no,no,,,,,intertidal,yes,no,,,
Ellen,Urticina felina,,Cnidaria,Invertebrate,Anemone,Anemone,NA,NA,11,20,medium,medium,soft,soft,predator,predator,secondary consumer,motile,sessile,"epifaunal, epibenthic",yes,no,yes,no,,-19.6,26,LT50,subtidal,no,yes,,BIOTIC/marlin,
,Metridium dianthus,,Cnidaria,Invertebrate,Anemone,Anemone,NA,NA,0.2,20,small-medium,small-medium,soft,soft,predator,predator,secondary consumer,motile,sessile,"benthic, attached to mussels",yes,no,yes,,,,,,intertidal,yes,no,,,
