"","Semibalanus balanoides","Anomia simplex","Hiatella arctica","Modiolus modiolus","Mytilus edulis","Membranipora membranacea","Schizoporella unicornis","Metridium senile","Amphipoda","Cancer borealis","Cancer irroratus","Carcinus maenus","Strongylocentrotus droebachiensis","Crepidula fornicata","Lacuna vincta","Littorina littorea","Littorina obtusata","Littorina saxatilis","Nucella lapillus","Tectura testudinalis","Spirorbis","Asterias forbesi","Asterias rubens","Henricia sanguinolenta","Botrylloides violaceus","Botryllus schlosseri","Didemnum vexillum"
"Cancer irroratus",0.92761422391052,0.897224860187823,0.838134430727023,0.840983433576026,0.840983433576026,0.816608631423446,0.781893004115226,0.848158700010552,0.730294396961064,0.432520839928247,0,0.595230558193521,0.725651577503429,0.792866941015089,0.871372797298723,0.846997995146143,0.871372797298723,0.710140339769969,0.742112482853224,0.769230769230769,0.92761422391052,0.583729028173472,0.642819457634272,0.653898913158172,0.902395272765643,0.896802785691675,0.907776722591537
"Carcinus maenus",0.86852379444972,0.838134430727023,0.779044001266223,0.897224860187823,0.897224860187823,0.766381766381766,0.838134430727023,0.789068270549752,0.564735675846787,0.595230558193521,0.595230558193521,0,0.781893004115226,0.849108367626886,0.812282367837923,0.681439274031867,0.812282367837923,0.757518201962646,0.683022053392424,0.816608631423446,0.86852379444972,0.746438746438746,0.805529175899546,0.816608631423446,0.852168407723963,0.846575920649995,0.857549857549857
"Strongylocentrotus droebachiensis",0.854067742956632,0.823678379233935,0.764587949773135,0.767436952622138,0.767436952622138,0.743062150469558,0.708346523161338,0.883612957687032,0.840983433576026,0.725651577503429,0.725651577503429,0.781893004115226,0,0.719320460061201,0.797826316344835,0.699166402870107,0.723541205022686,0.668777039147409,0.777566740529703,0.727867468608209,0.854067742956632,0.725651577503429,0.784742006964229,0.686820723857761,0.828848791811755,0.823256304737786,0.834230241637649
"Crepidula fornicata",0.756040941226126,0.725651577503429,0.666561148042629,0.669410150891632,0.669410150891632,0.645035348739052,0.610319721430832,0.785586155956526,0.858288487918118,0.792866941015089,0.792866941015089,0.849108367626886,0.719320460061201,0,0.743378706341669,0.768914213358658,0.793289015511238,0.738524849635961,0.773029439696106,0.797615279096761,0.756040941226126,0.792866941015089,0.851957370475889,0.704125778199852,0.730821990081249,0.725229503007281,0.648728500580352
"Lacuna vincta",0.600189933523267,0.673314339981007,0.745067004326264,0.804157433787063,0.804157433787063,0.838873061095283,0.804157433787063,0.805001582779361,0.690619394323098,0.871372797298723,0.871372797298723,0.812282367837923,0.797826316344835,0.743378706341669,0,0.628574443389258,0.522106151735781,0.701698849846998,0.632689669726707,0.629946185501741,0.671942597868524,0.871372797298723,0.871372797298723,0.782631634483486,0.86556927297668,0.859976785902712,0.799198058457318
"Littorina littorea",0.756568534346312,0.829692940804052,0.770602511343252,0.888783370264852,0.888783370264852,0.757940276458795,0.829692940804052,0.889627519257149,0.740529703492666,0.846997995146143,0.846997995146143,0.681439274031867,0.699166402870107,0.768914213358658,0.628574443389258,0,0.55428933206711,0.60303893637227,0.608314867574127,0.66212936583307,0.756568534346312,0.846997995146143,0.906088424606943,0.808167141500475,0.843726917800992,0.838134430727023,0.849108367626886
"Littorina obtusata",0.650100242692835,0.723224649150575,0.794977313495832,0.854067742956632,0.854067742956632,0.888783370264852,0.854067742956632,0.854911891948929,0.740529703492666,0.871372797298723,0.871372797298723,0.812282367837923,0.723541205022686,0.793289015511238,0.522106151735781,0.55428933206711,0,0.62741373852485,0.632689669726707,0.555661074179593,0.721852907038092,0.871372797298723,0.871372797298723,0.832541943653055,0.915479582146249,0.90988709507228,0.849108367626886
"Littorina saxatilis",0.829692940804052,0.799303577081355,0.740213147620555,0.858394006542155,0.858394006542155,0.834019204389575,0.799303577081355,0.859238155534452,0.816608631423446,0.710140339769969,0.710140339769969,0.757518201962646,0.668777039147409,0.738524849635961,0.701698849846998,0.60303893637227,0.62741373852485,0,0.681439274031867,0.525271710456896,0.829692940804052,0.710140339769969,0.769230769230769,0.671309486124301,0.919805845731772,0.914213358657803,0.925187295557666
"Nucella lapillus",0.760683760683761,0.8338081671415,0.774717737680701,0.8928985966023,0.8928985966023,0.86852379444972,0.833808167141501,0.784742006964229,0.742112482853224,0.742112482853224,0.742112482853224,0.683022053392424,0.777566740529703,0.773029439696106,0.632689669726707,0.608314867574127,0.632689669726707,0.681439274031867,0,0.740529703492666,0.760683760683761,0.666139073546481,0.725229503007281,0.812282367837923,0.954310435791917,0.948717948717949,0.959691885617811
"Tectura testudinalis",0.757940276458795,0.727550912736098,0.799303577081355,0.858394006542155,0.858394006542155,0.893109633850375,0.858394006542155,0.859238155534452,0.744855967078189,0.769230769230769,0.769230769230769,0.816608631423446,0.727867468608209,0.797615279096761,0.629946185501741,0.66212936583307,0.555661074179593,0.525271710456896,0.740529703492666,0,0.829692940804052,0.769230769230769,0.769230769230769,0.730399915585101,0.919805845731772,0.914213358657803,0.853434631212409
"Spirorbis",0.612852168407724,0.685976574865464,0.685976574865464,0.745067004326264,0.745067004326264,0.779782631634483,0.745067004326264,0.745911153318561,0.818613485280152,0.92761422391052,0.92761422391052,0.86852379444972,0.854067742956632,0.756040941226126,0.671942597868524,0.756568534346312,0.721852907038092,0.829692940804052,0.760683760683761,0.829692940804052,0,0.92761422391052,0.92761422391052,0.838873061095283,0.806478843515881,0.800886356441912,0.811860293341775
"Asterias forbesi",0.92761422391052,0.897224860187823,0.838134430727023,0.840983433576026,0.840983433576026,0.816608631423446,0.781893004115226,0.848158700010552,0.805529175899546,0.583729028173472,0.583729028173472,0.746438746438746,0.725651577503429,0.792866941015089,0.871372797298723,0.846997995146143,0.871372797298723,0.710140339769969,0.666139073546481,0.769230769230769,0.92761422391052,0,0.490872639020787,0.57792550385143,0.902395272765643,0.896802785691675,0.907776722591537
"Asterias rubens",0.92761422391052,0.897224860187823,0.897224860187823,0.840983433576026,0.840983433576026,0.875699060884246,0.840983433576026,0.771657697583624,0.805529175899546,0.642819457634272,0.642819457634272,0.805529175899546,0.784742006964229,0.851957370475889,0.871372797298723,0.906088424606943,0.871372797298723,0.769230769230769,0.725229503007281,0.769230769230769,0.92761422391052,0.490872639020787,0,0.63701593331223,0.902395272765643,0.896802785691675,0.907776722591537
"Henricia sanguinolenta",0.838873061095283,0.808483697372586,0.749393267911787,0.752242270760789,0.752242270760789,0.727867468608209,0.693151841299989,0.868418275825683,0.825788751714678,0.653898913158172,0.653898913158172,0.816608631423446,0.686820723857761,0.704125778199852,0.782631634483486,0.808167141500475,0.832541943653055,0.671309486124301,0.812282367837923,0.730399915585101,0.838873061095283,0.57792550385143,0.63701593331223,0,0.813654109950406,0.808061622876438,0.8190355597763
"Botrylloides violaceus",0.806478843515881,0.776089479793183,0.776089479793183,0.644613274242904,0.644613274242904,0.64809538883613,0.719848053181386,0.739685554500369,0.802258098554395,0.902395272765643,0.902395272765643,0.852168407723963,0.828848791811755,0.730821990081249,0.86556927297668,0.843726917800992,0.915479582146249,0.919805845731772,0.954310435791917,0.919805845731772,0.806478843515881,0.902395272765643,0.902395272765643,0.813654109950406,0,0.421652421652422,0.507861137490767
"Botryllus schlosseri",0.800886356441912,0.770496992719215,0.770496992719215,0.639020787168935,0.639020787168935,0.642502901762161,0.714255566107418,0.734093067426401,0.796665611480426,0.896802785691675,0.896802785691675,0.846575920649995,0.823256304737786,0.725229503007281,0.859976785902712,0.838134430727023,0.90988709507228,0.914213358657803,0.948717948717949,0.914213358657803,0.800886356441912,0.896802785691675,0.896802785691675,0.808061622876438,0.421652421652422,0,0.502268650416799
"Didemnum vexillum",0.740107628996518,0.709718265273821,0.781470929619078,0.725229503007281,0.725229503007281,0.653476838662024,0.725229503007281,0.745067004326263,0.735886884035032,0.907776722591537,0.907776722591537,0.857549857549857,0.834230241637649,0.648728500580352,0.799198058457318,0.849108367626886,0.849108367626886,0.925187295557666,0.959691885617811,0.853434631212409,0.811860293341775,0.907776722591537,0.907776722591537,0.8190355597763,0.507861137490767,0.502268650416799,0
