"","Semibalanus balanoides","Anomia simplex","Hiatella arctica","Modiolus modiolus","Mytilus edulis","Membranipora membranacea","Schizoporella unicornis","Metridium senile","Amphipoda","Cancer borealis","Cancer irroratus","Carcinus maenus","Strongylocentrotus droebachiensis","Crepidula fornicata","Lacuna vincta","Littorina littorea","Littorina obtusata","Littorina saxatilis","Nucella lapillus","Tectura testudinalis","Spirorbis","Asterias forbesi","Asterias rubens","Henricia sanguinolenta","Botrylloides violaceus","Botryllus schlosseri"
"Cancer irroratus",0.940259444697314,0.908852981338188,0.851160673645881,0.851160673645881,0.851160673645881,0.824874829312699,0.793468365953573,0.855939918070096,0.74089667728721,0.446859353664087,0,0.607305416477014,0.738848429676832,0.799271734182977,0.885639508420573,0.859353664087392,0.885639508420573,0.725193445607647,0.758306781975421,0.782885753299954,0.940259444697314,0.597860719162494,0.655553026854802,0.667501137915339,0.905097860719163,0.899294492489759
"Carcinus maenus",0.878129267182522,0.846722803823395,0.789030496131088,0.904415111515703,0.904415111515703,0.773896222121074,0.846722803823395,0.793809740555303,0.57453345471097,0.607305416477014,0.607305416477014,0,0.792102867546654,0.852526172052799,0.823509330905781,0.692990441511152,0.823509330905781,0.770254893035958,0.696176604460628,0.827947200728266,0.878129267182522,0.758306781975421,0.815999089667729,0.827947200728266,0.854119253527537,0.848315885298134
"Strongylocentrotus droebachiensis",0.864360491579427,0.8329540282203,0.775261720527993,0.775261720527993,0.775261720527993,0.748975876194811,0.717569412835685,0.889736003641329,0.849795175238962,0.738848429676832,0.738848429676832,0.792102867546654,0,0.723372781065089,0.809740555302686,0.709376422394174,0.735662266727355,0.682407828857533,0.792102867546654,0.740100136549841,0.864360491579427,0.738848429676832,0.79654073736914,0.698793809740555,0.829198907601274,0.823395539371871
"Crepidula fornicata",0.758306781975421,0.726900318616295,0.669208010923987,0.669208010923987,0.669208010923987,0.642922166590806,0.61151570323168,0.783682294037324,0.858898497951752,0.799271734182977,0.799271734182977,0.852526172052799,0.723372781065089,0,0.747496586253983,0.772530723714156,0.798816568047337,0.745562130177515,0.781178880291306,0.803254437869822,0.758306781975421,0.799271734182977,0.856964041875284,0.707897132453345,0.723145197997269,0.717341829767865
"Lacuna vincta",0.609695038689122,0.682521620391443,0.755348202093764,0.813040509786072,0.813040509786072,0.844446973145198,0.813040509786072,0.812130177514793,0.699362767410105,0.885639508420573,0.885639508420573,0.823509330905781,0.809740555302686,0.747496586253983,0,0.63928083750569,0.535047792444242,0.716545289030496,0.64792899408284,0.643718707328175,0.682521620391443,0.885639508420573,0.885639508420573,0.794264906690942,0.866977696859354,0.86117432862995
"Littorina littorea",0.765248065543924,0.838074647246245,0.780382339553937,0.895766954938553,0.895766954938553,0.765248065543924,0.838074647246245,0.894856622667274,0.750682749203459,0.859353664087392,0.859353664087392,0.692990441511152,0.709376422394174,0.772530723714156,0.63928083750569,0,0.56520254893036,0.616181156121985,0.621643149749659,0.673873463814292,0.765248065543924,0.859353664087392,0.9170459717797,0.819299044151115,0.845471096950387,0.839667728720983
"Littorina obtusata",0.661015020482476,0.733841602184797,0.806668183887119,0.864360491579427,0.864360491579427,0.895766954938553,0.864360491579427,0.863450159308147,0.750682749203459,0.885639508420573,0.885639508420573,0.823509330905781,0.735662266727355,0.798816568047337,0.535047792444242,0.56520254893036,0,0.642467000455166,0.64792899408284,0.569640418752845,0.733841602184797,0.885639508420573,0.885639508420573,0.845584888484297,0.918297678652708,0.912494310423305
"Littorina saxatilis",0.84251251706873,0.811106053709604,0.753413746017296,0.868798361401912,0.868798361401912,0.84251251706873,0.811106053709604,0.867888029130633,0.827947200728266,0.725193445607647,0.725193445607647,0.770254893035958,0.682407828857533,0.745562130177515,0.716545289030496,0.616181156121985,0.642467000455166,0,0.698907601274465,0.539713245334547,0.84251251706873,0.725193445607647,0.782885753299954,0.68513882567137,0.922735548475193,0.91693218024579
"Nucella lapillus",0.773896222121074,0.846722803823395,0.789030496131088,0.904415111515703,0.904415111515703,0.878129267182522,0.846722803823395,0.793809740555303,0.753868912152936,0.758306781975421,0.758306781975421,0.696176604460628,0.792102867546654,0.781178880291306,0.64792899408284,0.621643149749659,0.64792899408284,0.698907601274465,0,0.756599908966773,0.773896222121074,0.682407828857533,0.740100136549841,0.827947200728266,0.958352298588985,0.952548930359581
"Tectura testudinalis",0.769685935366409,0.738279472007283,0.811106053709604,0.868798361401912,0.868798361401912,0.900204824761038,0.868798361401912,0.867888029130633,0.755120619025944,0.782885753299954,0.782885753299954,0.827947200728266,0.740100136549841,0.803254437869822,0.643718707328175,0.673873463814292,0.569640418752845,0.539713245334547,0.756599908966773,0,0.84251251706873,0.782885753299954,0.782885753299954,0.742831133363678,0.922735548475193,0.91693218024579
"Spirorbis",0.621984524351388,0.69481110605371,0.69481110605371,0.752503413746017,0.752503413746017,0.783909877105143,0.752503413746017,0.751593081474738,0.826809285389167,0.940259444697314,0.940259444697314,0.878129267182522,0.864360491579427,0.758306781975421,0.682521620391443,0.765248065543924,0.733841602184797,0.84251251706873,0.773896222121074,0.84251251706873,0,0.940259444697314,0.940259444697314,0.848884842967683,0.806440600819299,0.800637232589895
"Asterias forbesi",0.940259444697314,0.908852981338188,0.851160673645881,0.851160673645881,0.851160673645881,0.824874829312699,0.793468365953573,0.855939918070096,0.815999089667729,0.597860719162494,0.597860719162494,0.758306781975421,0.738848429676832,0.799271734182977,0.885639508420573,0.859353664087392,0.885639508420573,0.725193445607647,0.682407828857533,0.782885753299954,0.940259444697314,0,0.503755120619026,0.591602184797451,0.905097860719163,0.899294492489759
"Asterias rubens",0.940259444697314,0.908852981338188,0.908852981338188,0.851160673645881,0.851160673645881,0.882567137005007,0.851160673645881,0.779472007282658,0.815999089667729,0.655553026854802,0.655553026854802,0.815999089667729,0.79654073736914,0.856964041875284,0.885639508420573,0.9170459717797,0.885639508420573,0.782885753299954,0.740100136549841,0.782885753299954,0.940259444697314,0.503755120619026,0,0.649294492489759,0.905097860719163,0.899294492489759
"Henricia sanguinolenta",0.848884842967683,0.817478379608557,0.759786071916249,0.759786071916249,0.759786071916249,0.733500227583068,0.702093764223942,0.874260355029586,0.834319526627219,0.667501137915339,0.667501137915339,0.827947200728266,0.698793809740555,0.707897132453345,0.794264906690942,0.819299044151115,0.845584888484297,0.68513882567137,0.827947200728266,0.742831133363678,0.848884842967683,0.591602184797451,0.649294492489759,0,0.813723258989531,0.807919890760127
"Botrylloides violaceus",0.806440600819299,0.775034137460173,0.775034137460173,0.642239417387346,0.642239417387346,0.644515248065544,0.717341829767865,0.739189804278562,0.802799271734183,0.905097860719163,0.905097860719163,0.854119253527537,0.829198907601274,0.723145197997269,0.866977696859354,0.845471096950387,0.918297678652708,0.922735548475193,0.958352298588985,0.922735548475193,0.806440600819299,0.905097860719163,0.905097860719163,0.813723258989531,0,0.4170459717797
"Botryllus schlosseri",0.800637232589895,0.769230769230769,0.769230769230769,0.636436049157943,0.636436049157943,0.63871187983614,0.711538461538461,0.733386436049158,0.796995903504779,0.899294492489759,0.899294492489759,0.848315885298134,0.823395539371871,0.717341829767865,0.86117432862995,0.839667728720983,0.912494310423305,0.91693218024579,0.952548930359581,0.91693218024579,0.800637232589895,0.899294492489759,0.899294492489759,0.807919890760127,0.4170459717797,0
